date,n_active_countries,global_stance,global_intensity
1977-04-01,0,0.0,0.0
1977-07-01,1,-1.02,1.02
1977-10-01,1,0.66,0.66
1978-01-01,1,0.134884,0.134884
1978-04-01,0,0.0,0.0
1978-07-01,0,0.0,0.0
1978-10-01,0,0.0,0.0
1979-01-01,3,-0.884921,0.884921
1979-04-01,1,-0.1,0.1
1979-07-01,1,-0.1,0.1
1979-10-01,1,-0.1,0.1
1980-01-01,4,-0.48762200000000006,0.6123780000000001
1980-04-01,4,-0.24955700000000003,0.8504430000000001
1980-07-01,3,-0.55,0.55
1980-10-01,3,-0.55,0.55
1981-01-01,6,-0.7222569999999999,1.677743
1981-04-01,6,-1.4,1.4
1981-07-01,6,-1.4,1.4
1981-10-01,6,-0.843124,1.556876
1982-01-01,1,-1.605592,1.605592
1982-04-01,1,-0.25,0.25
1982-07-01,1,-0.25,0.25
1982-10-01,1,-0.25,0.25
1983-01-01,2,-1.338417,1.338417
1983-04-01,2,-0.425,0.425
1983-07-01,2,-0.425,0.425
1983-10-01,2,-0.425,0.425
1984-01-01,1,-0.629987,0.629987
1984-04-01,0,0.0,0.0
1984-07-01,1,0.201096,0.201096
1984-10-01,0,0.0,0.0
1985-01-01,3,-0.13638199999999998,0.563618
1985-04-01,2,-0.35,0.35
1985-07-01,2,-0.35,0.35
1985-10-01,2,-0.35,0.35
1986-01-01,5,-0.31223200000000007,0.513768
1986-04-01,3,-0.4,0.4
1986-07-01,3,-0.4,0.4
1986-10-01,4,0.099329,0.899329
1987-01-01,3,-0.643,0.643
1987-04-01,2,-0.475,0.475
1987-07-01,3,-0.894481,0.894481
1987-10-01,2,-0.475,0.475
1988-01-01,2,0.371711,0.39971100000000004
1988-04-01,0,0.0,0.0
1988-07-01,0,0.0,0.0
1988-10-01,0,0.0,0.0
1989-01-01,1,0.025,0.025
1989-04-01,0,0.0,0.0
1989-07-01,0,0.0,0.0
1989-10-01,0,0.0,0.0
1990-01-01,2,0.025183,0.035183
1990-04-01,1,-0.15,0.15
1990-07-01,1,-0.15,0.15
1990-10-01,1,-0.15,0.15
1991-01-01,4,0.353826,0.863826
1991-04-01,1,-0.25,0.25
1991-07-01,1,-0.25,0.25
1991-10-01,1,-0.25,0.25
1992-01-01,4,-0.9449999999999998,0.9449999999999998
1992-04-01,4,-0.975,0.975
1992-07-01,4,-0.975,0.975
1992-10-01,4,-0.975,0.975
1993-01-01,5,-1.3650000000000002,1.3850000000000002
1993-04-01,4,-1.375,1.375
1993-07-01,4,-0.35021899999999995,2.1997809999999998
1993-10-01,4,-1.889691,1.889691
1994-01-01,4,0.028894000000000003,0.35889400000000005
1994-04-01,1,-0.15,0.15
1994-07-01,1,-0.15,0.15
1994-10-01,1,-0.15,0.15
1995-01-01,4,-1.225,1.225
1995-04-01,4,-1.225,1.225
1995-07-01,4,-1.225,1.225
1995-10-01,4,-1.225,1.225
1996-01-01,7,-2.0,2.0
1996-04-01,7,-2.0,2.0
1996-07-01,7,-2.0,2.0
1996-10-01,7,-2.0,2.0
1997-01-01,4,-1.095,1.095
1997-04-01,4,-1.125,1.125
1997-07-01,4,-1.125,1.125
1997-10-01,4,-1.125,1.125
1998-01-01,0,0.0,0.0
1998-04-01,0,0.0,0.0
1998-07-01,0,0.0,0.0
1998-10-01,0,0.0,0.0
1999-01-01,0,0.0,0.0
1999-04-01,0,0.0,0.0
1999-07-01,0,0.0,0.0
1999-10-01,0,0.0,0.0
2000-01-01,2,0.005653999999999999,0.029654
2000-04-01,0,0.0,0.0
2000-07-01,0,0.0,0.0
2000-10-01,0,0.0,0.0
2001-01-01,2,-0.024,0.024
2001-04-01,0,0.0,0.0
2001-07-01,0,0.0,0.0
2001-10-01,0,0.0,0.0
2002-01-01,1,-0.797422,0.797422
2002-04-01,0,0.0,0.0
2002-07-01,0,0.0,0.0
2002-10-01,0,0.0,0.0
2003-01-01,2,-0.155,0.155
2003-04-01,1,-0.15,0.15
2003-07-01,2,-3.007633,3.007633
2003-10-01,1,-0.15,0.15
2004-01-01,1,-0.15,0.15
2004-04-01,1,-0.15,0.15
2004-07-01,1,-0.15,0.15
2004-10-01,1,-0.15,0.15
2005-01-01,1,0.560309,0.560309
2005-04-01,0,0.0,0.0
2005-07-01,0,0.0,0.0
2005-10-01,0,0.0,0.0
2006-01-01,1,-0.01,0.01
2006-04-01,0,0.0,0.0
2006-07-01,0,0.0,0.0
2006-10-01,0,0.0,0.0
2007-01-01,2,-0.015,0.015
2007-04-01,0,0.0,0.0
2007-07-01,0,0.0,0.0
2007-10-01,0,0.0,0.0
2008-01-01,0,0.0,0.0
2008-04-01,0,0.0,0.0
2008-07-01,0,0.0,0.0
2008-10-01,0,0.0,0.0
2009-01-01,2,-0.513,0.513
2009-04-01,1,-0.525,0.525
2009-07-01,1,-0.525,0.525
2009-10-01,1,-0.525,0.525
2010-01-01,3,-1.3370000000000002,1.3370000000000002
2010-04-01,3,-1.375,1.375
2010-07-01,3,-1.375,1.375
2010-10-01,3,-1.375,1.375
2011-01-01,5,-1.2819999999999998,1.3179999999999998
2011-04-01,4,-1.2999999999999998,1.2999999999999998
2011-07-01,4,-1.2999999999999998,1.2999999999999998
2011-10-01,4,-1.2999999999999998,1.2999999999999998
2012-01-01,3,-1.3,1.3
2012-04-01,3,-1.3,1.3
2012-07-01,3,-1.3,1.3
2012-10-01,3,-1.3,1.3
2013-01-01,1,0.012,0.012
2013-04-01,0,0.0,0.0
2013-07-01,0,0.0,0.0
2013-10-01,0,0.0,0.0
2014-01-01,1,-0.1629999999999999,0.1629999999999999
2014-04-01,1,-0.175,0.175
2014-07-01,1,-0.175,0.175
2014-10-01,1,-0.175,0.175
2015-01-01,0,0.0,0.0
2015-04-01,0,0.0,0.0
2015-07-01,0,0.0,0.0
2015-10-01,0,0.0,0.0
2016-01-01,0,0.0,0.0
2016-04-01,0,0.0,0.0
2016-07-01,0,0.0,0.0
2016-10-01,0,0.0,0.0
2017-01-01,1,-0.012,0.012
