district,date,innov_full,innov_unc,innov_sent
Atlanta,1987-04-01,-0.14013529727396004,-0.18333435603190434,-0.12402363406875179
Atlanta,1987-07-01,-0.33858615334639647,-0.18333435603190434,-0.31607652804537356
Atlanta,1987-10-01,-0.8629827419704048,-0.18333435603190434,-0.8353982101829053
Atlanta,1988-01-01,-0.7712521333247012,-0.18333435603190434,-0.7249554357733827
Atlanta,1988-04-01,-0.602416871704922,-0.18333435603190434,-0.5513057856657255
Atlanta,1988-07-01,0.8324491579288557,-0.18333435603190434,0.8919209500192767
Atlanta,1988-10-01,-0.9158337524181019,-0.18333435603190434,-0.9100131230851374
Atlanta,1989-01-01,-0.3754252865352938,-0.18333435603190434,-0.32910520207503907
Atlanta,1989-04-01,-0.7867599085561167,-0.18333435603190434,-0.7496258938836157
Atlanta,1989-07-01,-0.5683597398772426,-0.18333435603190434,-0.5185494368421691
