beta,se_dk,lo_dk,hi_dk,p_wc,n_obs,n_clusters,spec,h,cluster
0.01731771128679504,0.014515468289427274,-0.006558109375968492,0.04119353194955857,0.166,6630,12,own_alone_dist,2,district
0.023138952487961106,0.015514775412424625,-0.002380582120503058,0.04865848709642527,0.137,6579,12,own_alone_dist,3,district
0.0239139809868957,0.015491464777475391,-0.0015672110391256773,0.04939517301291707,0.092,6528,12,own_alone_dist,4,district
0.02960652149366798,0.0165387855701273,0.002402640063271424,0.05681040292406454,0.139,6477,12,own_alone_dist,5,district
0.0215571201733835,0.015267018239094534,-0.0035548901499254174,0.04666913049669242,0.159,6426,12,own_alone_dist,6,district
0.0191746348449044,0.014474220975460245,-0.004633340023878458,0.04298260971368725,0.184,6375,12,own_alone_dist,7,district
0.02583360939386792,0.013307200629367506,0.003945212174081867,0.04772200661365397,0.17,6324,12,own_alone_dist,8,district
0.04152442477850449,0.019265748267865725,0.009835088864171511,0.07321376069283747,0.158,6273,12,own_alone_dist,9,district
0.029199497335666378,0.01218167891459649,0.009162418590634071,0.04923657608069869,0.102,6222,12,own_alone_dist,10,district
0.02791478356102549,0.011096936449670145,0.009661947393735559,0.046167619728315415,0.087,6171,12,own_alone_dist,11,district
0.02594555440727133,0.011880896861661782,0.006403218112930587,0.04548789070161208,0.082,6120,12,own_alone_dist,12,district
0.010499556376738257,0.0071008988172521,-0.0011803827974342773,0.02217949555091079,0.217,6732,132,own_alone_quarter,0,quarter
0.003302947756053906,0.018519761189495734,-0.027159348606763258,0.03376524411887107,0.883,6681,131,own_alone_quarter,1,quarter
0.01731771128679504,0.014515468289427274,-0.006558109375968492,0.04119353194955857,0.387,6630,130,own_alone_quarter,2,quarter
0.023138952487961106,0.015514775412424625,-0.002380582120503058,0.04865848709642527,0.224,6579,129,own_alone_quarter,3,quarter
0.0239139809868957,0.015491464777475391,-0.0015672110391256773,0.04939517301291707,0.189,6528,128,own_alone_quarter,4,quarter
0.02960652149366798,0.0165387855701273,0.002402640063271424,0.05681040292406454,0.136,6477,127,own_alone_quarter,5,quarter
0.0215571201733835,0.015267018239094534,-0.0035548901499254174,0.04666913049669242,0.238,6426,126,own_alone_quarter,6,quarter
0.0191746348449044,0.014474220975460245,-0.004633340023878458,0.04298260971368725,0.32,6375,125,own_alone_quarter,7,quarter
0.02583360939386792,0.013307200629367506,0.003945212174081867,0.04772200661365397,0.268,6324,124,own_alone_quarter,8,quarter
0.04152442477850449,0.019265748267865725,0.009835088864171511,0.07321376069283747,0.07,6273,123,own_alone_quarter,9,quarter
0.029199497335666378,0.01218167891459649,0.009162418590634071,0.04923657608069869,0.138,6222,122,own_alone_quarter,10,quarter
0.02791478356102549,0.011096936449670145,0.009661947393735559,0.046167619728315415,0.098,6171,121,own_alone_quarter,11,quarter
0.02594555440727133,0.011880896861661782,0.006403218112930587,0.04548789070161208,0.115,6120,120,own_alone_quarter,12,quarter
-0.004532357436112253,0.01393661605636643,-0.027456050903856694,0.01839133603163219,0.877,6732,12,hr_loo_district,0,district
-0.0025481085037904532,0.017265907127570788,-0.030947998465182536,0.025851781457601627,0.834,6681,12,hr_loo_district,1,district
-0.006779063690656157,0.021627048319105485,-0.04235239255859155,0.028794265177279232,0.462,6630,12,hr_loo_district,2,district
0.0018218017432317006,0.020125784247136794,-0.03128216747091405,0.03492577095737746,0.912,6579,12,hr_loo_district,3,district
0.0061386015937524175,0.018803820081796128,-0.02479093006833287,0.0370681332558377,0.736,6528,12,hr_loo_district,4,district
