date,district,value,n_docs,n_sections
1975-01-01,Boston,0.06739251469223632,3,1
1975-01-01,Chicago,0.14175186515612048,3,1
1975-01-01,Cleveland,0.14577001013171226,3,1
1975-01-01,Dallas,0.05729166666666667,4,1
1975-01-01,Kansas City,0.023255813953488372,3,1
1975-01-01,Minneapolis,0.09690951852439089,4,1
1975-01-01,New York,0.1157517449537823,3,1
1975-01-01,Philadelphia,0.07572109925051101,3,1
1975-01-01,Richmond,0.1394373600255953,3,1
1975-01-01,San Francisco,0.0848636998993338,6,1
1975-01-01,St. Louis,0.06877076411960133,4,1
1975-04-01,Atlanta,0.08175774842441509,3,1
1975-04-01,Boston,0.042731405710129115,3,1
1975-04-01,Chicago,0.05598845598845598,3,1
1975-04-01,Cleveland,0.053149963689179375,3,1
1975-04-01,Dallas,0.045359603789836354,3,1
1975-04-01,Kansas City,0.019047619047619046,3,1
1975-04-01,Minneapolis,0.09015594541910332,3,1
1975-04-01,New York,0.030303030303030304,3,1
1975-04-01,Philadelphia,0.027065527065527062,3,1
1975-04-01,Richmond,0.03066378066378066,3,1
1975-04-01,San Francisco,0.0321029776674938,4,1
1975-04-01,St. Louis,0.052988806858775904,3,1
1975-07-01,Atlanta,0.0367003367003367,3,1
1975-07-01,Boston,0.029694697225030892,3,1
1975-07-01,Chicago,0.054008730178302794,3,1
1975-07-01,Cleveland,0.03815470244041672,3,1
1975-07-01,Dallas,0.015503875968992248,3,1
1975-07-01,Kansas City,0.024999999999999998,3,1
1975-07-01,Minneapolis,0.041666666666666664,3,1
1975-07-01,New York,0.030257936507936508,3,1
1975-07-01,Philadelphia,0.02963188112124282,3,1
1975-07-01,Richmond,0.02242926155969634,3,1
1975-07-01,San Francisco,0.031047277845307402,5,1
1975-07-01,St. Louis,0.03809523809523809,3,1
1975-10-01,Atlanta,0.06758448060075094,3,1
1975-10-01,Boston,0.024146451033243487,3,1
1975-10-01,Chicago,0.07298937571833038,3,1
1975-10-01,Cleveland,0.036111111111111115,3,1
1975-10-01,Dallas,0.03560149296583405,3,1
1975-10-01,Kansas City,0.0,3,1
1975-10-01,Minneapolis,0.027777777777777776,3,1
1975-10-01,New York,0.03506745386611905,3,1
1975-10-01,Philadelphia,0.0,3,1
1975-10-01,Richmond,0.022448320413436692,3,1
1975-10-01,San Francisco,0.023809523809523808,4,1
1975-10-01,St. Louis,0.009523809523809523,3,1
1976-01-01,Atlanta,0.03723045822102426,2,1
1976-01-01,Boston,0.015503875968992248,3,1
1976-01-01,Chicago,0.06492063492063492,3,1
1976-01-01,Cleveland,0.08241388241388241,3,1
1976-01-01,Dallas,0.023758865248226953,3,1
1976-01-01,Kansas City,0.034188034188034185,3,1
1976-01-01,Minneapolis,0.11721956224350205,3,1
1976-01-01,New York,0.0758411179463811,3,1
1976-01-01,Philadelphia,0.0,3,1
1976-01-01,Richmond,0.031364267953780896,4,2
1976-01-01,San Francisco,0.050144936603269935,6,1
1976-01-01,St. Louis,0.030555555555555558,3,1
1976-04-01,Atlanta,0.035103785103785104,3,1
1976-04-01,Boston,0.032024882024882025,3,1
1976-04-01,Chicago,0.015151515151515152,3,1
1976-04-01,Cleveland,0.02540792540792541,3,1
1976-04-01,Dallas,0.03759398496240601,3,1
1976-04-01,Kansas City,0.0,3,1
1976-04-01,Minneapolis,0.05912061794414736,3,1
1976-04-01,New York,0.04040404040404041,3,1
1976-04-01,Philadelphia,0.013225475089881871,3,1
1976-04-01,Richmond,0.007936507936507936,3,1
1976-04-01,San Francisco,0.020303030303030302,5,1
1976-04-01,St. Louis,0.007936507936507936,3,1
1976-07-01,Atlanta,0.03636363636363636,3,1
1976-07-01,Boston,0.021910919540229886,3,1
1976-07-01,Chicago,0.007246376811594203,3,1
1976-07-01,Cleveland,0.014351851851851852,3,1
1976-07-01,Dallas,0.028999211977935382,3,1
1976-07-01,Kansas City,0.0,3,1
1976-07-01,Minneapolis,0.05993357487922705,3,1
1976-07-01,New York,0.07607962213225371,3,1
1976-07-01,Philadelphia,0.0,3,1
1976-07-01,Richmond,0.016018306636155607,3,1
1976-07-01,San Francisco,0.0,5,1
1976-07-01,St. Louis,0.029335912314635715,3,1
1976-10-01,Atlanta,0.018518518518518517,3,1
1976-10-01,Boston,0.00980392156862745,3,1
1976-10-01,Chicago,0.007936507936507936,3,1
1976-10-01,Cleveland,0.017543859649122806,3,1
1976-10-01,Dallas,0.030010423181154888,3,1
1976-10-01,Kansas City,0.007407407407407408,3,1
1976-10-01,Minneapolis,0.018532818532818532,3,1
1976-10-01,New York,0.04448621553884711,3,1
1976-10-01,Philadelphia,0.014822134387351778,3,1
1976-10-01,Richmond,0.030821983966000194,3,1
1976-10-01,San Francisco,0.0033333333333333335,6,1
1976-10-01,St. Louis,0.024390243902439022,3,1
1977-01-01,Atlanta,0.02040816326530612,3,1
1977-01-01,Boston,0.006060606060606061,3,1
1977-01-01,Chicago,0.0265359477124183,3,1
1977-01-01,Cleveland,0.06344276841171251,3,1
1977-01-01,Dallas,0.03651126651126651,3,1
1977-01-01,Kansas City,0.0,3,1
1977-01-01,Minneapolis,0.02491582491582492,3,1
1977-01-01,New York,0.033130081300813005,3,1
1977-01-01,Philadelphia,0.03714072415080254,3,1
1977-01-01,Richmond,0.03261648745519713,3,1
1977-01-01,San Francisco,0.04480894922071393,8,2
1977-01-01,St. Louis,0.014705882352941176,4,2
1977-04-01,Atlanta,0.010416666666666666,3,1
1977-04-01,Boston,0.015579710144927537,3,1
1977-04-01,Chicago,0.014520202020202022,3,1
1977-04-01,Cleveland,0.0,3,1
1977-04-01,Dallas,0.02452153110047847,4,2
1977-04-01,Kansas City,0.008771929824561403,3,1
1977-04-01,Minneapolis,0.0196078431372549,3,1
1977-04-01,New York,0.015503875968992248,3,1
1977-04-01,Philadelphia,0.0,3,1
1977-04-01,Richmond,0.01911001911001911,3,1
1977-04-01,San Francisco,0.0,5,1
1977-04-01,St. Louis,0.0,3,1
1977-07-01,Atlanta,0.02019115890083632,3,1
1977-07-01,Boston,0.008333333333333333,3,1
1977-07-01,Chicago,0.0,3,1
1977-07-01,Cleveland,0.006410256410256411,3,1
1977-07-01,Dallas,0.03681365618004006,3,1
1977-07-01,Kansas City,0.009523809523809523,3,1
1977-07-01,Minneapolis,0.12283475783475784,6,4
1977-07-01,New York,0.03799929303640862,3,1
1977-07-01,Philadelphia,0.0,3,1
1977-07-01,Richmond,0.009009009009009009,3,1
1977-07-01,San Francisco,0.008030990173847315,6,1
1977-07-01,St. Louis,0.008547008547008546,3,1
1977-10-01,Atlanta,0.04193410355156183,3,1
1977-10-01,Boston,0.046511627906976744,2,1
1977-10-01,Chicago,0.006535947712418301,3,1
1977-10-01,Cleveland,0.04037951258677581,3,1
1977-10-01,Dallas,0.008333333333333333,3,1
1977-10-01,Kansas City,0.0,3,1
1977-10-01,Minneapolis,0.010416666666666666,6,3
1977-10-01,New York,0.025641025641025644,3,1
1977-10-01,Philadelphia,0.0,3,1
1977-10-01,Richmond,0.03988095238095238,3,1
1977-10-01,San Francisco,0.019075466443887495,6,2
1977-10-01,St. Louis,0.0,3,1
1978-01-01,Atlanta,0.04424181019925701,3,1
1978-01-01,Boston,0.013469387755102041,3,1
1978-01-01,Chicago,0.056896120150187725,3,1
1978-01-01,Cleveland,0.020141389889289048,3,1
1978-01-01,Dallas,0.02242926155969634,3,1
1978-01-01,Kansas City,0.017389340560072266,3,1
1978-01-01,Minneapolis,0.15625,7,5
1978-01-01,New York,0.0462962962962963,3,1
1978-01-01,Philadelphia,0.0,3,1
