date,district,value,n_docs,n_sections
1974-07-01,Kansas City,0.0,4,1
1974-07-01,Minneapolis,0.0,4,1
1974-07-01,New York,0.0,3,1
1974-07-01,Philadelphia,0.0,4,1
1974-07-01,Richmond,0.005813953488372093,4,1
1974-07-01,San Francisco,0.0,6,1
1974-07-01,St. Louis,0.0,4,1
1974-10-01,Atlanta,0.0,3,1
1974-10-01,Boston,0.0,4,2
1974-10-01,Chicago,0.0,3,1
1974-10-01,Cleveland,0.0,3,1
1974-10-01,Dallas,0.0,3,1
1974-10-01,Kansas City,0.0,3,1
1974-10-01,Minneapolis,0.0,3,1
1974-10-01,New York,0.0,3,1
1974-10-01,Philadelphia,0.0,3,1
1974-10-01,Richmond,0.0,3,1
1974-10-01,San Francisco,0.0,5,1
1974-10-01,St. Louis,0.0,3,1
1975-01-01,Atlanta,0.005747126436781609,3,1
1975-01-01,Boston,0.0,3,1
1975-01-01,Chicago,0.0,3,1
1975-01-01,Cleveland,0.0,3,1
1975-01-01,Dallas,0.0,4,1
1975-01-01,Kansas City,0.0,3,1
1975-01-01,Minneapolis,0.0,4,1
1975-01-01,New York,0.0,3,1
1975-01-01,Philadelphia,0.0,3,1
1975-01-01,Richmond,0.0,3,1
1975-01-01,San Francisco,0.0,6,1
1975-01-01,St. Louis,0.0,4,1
1975-04-01,Atlanta,0.0,3,1
1975-04-01,Boston,0.0,3,1
1975-04-01,Chicago,0.0,3,1
1975-04-01,Cleveland,0.0,3,1
1975-04-01,Dallas,0.0,3,1
1975-04-01,Kansas City,0.0,3,1
1975-04-01,Minneapolis,0.0,3,1
1975-04-01,New York,0.0,3,1
1975-04-01,Philadelphia,0.0,3,1
1975-04-01,Richmond,0.0,3,1
1975-04-01,San Francisco,0.0,4,1
1975-04-01,St. Louis,0.0,3,1
1975-07-01,Atlanta,0.0,3,1
1975-07-01,Boston,0.0,3,1
1975-07-01,Chicago,0.0,3,1
1975-07-01,Cleveland,0.0,3,1
1975-07-01,Dallas,0.0,3,1
1975-07-01,Kansas City,0.0,3,1
1975-07-01,Minneapolis,0.0,3,1
1975-07-01,New York,0.0,3,1
1975-07-01,Philadelphia,0.0,3,1
1975-07-01,Richmond,0.0,3,1
1975-07-01,San Francisco,0.0,5,1
1975-07-01,St. Louis,0.0,3,1
1975-10-01,Atlanta,0.0,3,1
1975-10-01,Boston,0.0,3,1
1975-10-01,Chicago,0.0,3,1
1975-10-01,Cleveland,0.0,3,1
1975-10-01,Dallas,0.0,3,1
1975-10-01,Kansas City,0.0,3,1
