beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,model,sector,h
0.021843520128748746,0.011667680256938066,0.0026518939400140863,0.04103514631748341,1.955363006009779,0.229,5940,45,12,A_own,information,0
0.009487998550891052,0.00900358133998204,-0.005321574871730999,0.024297571973513104,0.5845249189863907,0.657,5895,45,12,A_own,information,1
0.01413862441783635,0.014083717701188896,-0.009027029723924855,0.03730427855959755,1.3843108141034228,0.347,5850,45,12,A_own,information,2
0.01305760393132441,0.014193637204304839,-0.010288851703809757,0.03640405956645858,1.3015794141801253,0.35,5805,45,12,A_own,information,3
0.016150894655071454,0.014599172983928403,-0.007862607978035122,0.04016439728817803,1.4712211476362191,0.339,5760,45,12,A_own,information,4
0.017573058109820783,0.01488125807593646,-0.006904433209984184,0.04205054942962575,1.4162611152658438,0.451,5715,45,12,A_own,information,5
0.022699621519580628,0.016154781327121812,-0.0038726291389435986,0.04927187217810486,2.0315510120697806,0.233,5670,45,12,A_own,information,6
0.010653895636946794,0.01648837600164872,-0.01646706943190471,0.0377748607057983,0.6466039183590043,0.544,5625,45,12,A_own,information,7
0.006600126982059994,0.018887328906140484,-0.024466764472630558,0.03766701843675055,0.3483479989311684,0.714,5580,45,12,A_own,information,8
0.005749323529004901,0.020607011830477112,-0.028146194620987268,0.039644841678997074,0.27557044068669156,0.84,5535,45,12,A_own,information,9
0.013216536877144393,0.020875908464950972,-0.02112127687733715,0.047554350631625934,0.8553293938445636,0.393,5490,45,12,A_own,information,10
0.02386528300933654,0.01980130165385225,-0.008704959834362515,0.056435525853035594,1.410823070611795,0.29,5445,45,12,A_own,information,11
0.019694942367781465,0.01881718997717782,-0.011256580815214356,0.050646465550777287,1.0992571724600901,0.342,5400,45,12,A_own,information,12
0.010979330976988845,0.017145555270241922,-0.01722259779536551,0.039181259749343195,0.3697634769184254,0.853,5940,45,12,A_own,financial,0
0.006693871625358729,0.02033489024476753,-0.026754046347407252,0.04014178959812471,0.4444911116027966,0.627,5895,45,12,A_own,financial,1
0.018166815520022375,0.025865988924145395,-0.024378950176544782,0.06071258121658953,1.621756066072846,0.161,5850,45,12,A_own,financial,2
0.008829771860081485,0.03172197215736415,-0.043348229097012546,0.06100777281717552,0.7075524646986622,0.409,5805,45,12,A_own,financial,3
0.011653692705174858,0.03876157558937429,-0.05210342548936109,0.0754108108997108,0.564158766636716,0.619,5760,45,12,A_own,financial,4
0.033279409848995606,0.036341428353036616,-0.026496920386093734,0.09305574008408495,1.234615023043103,0.336,5715,45,12,A_own,financial,5
0.06549087604213705,0.0370463656524641,0.004555027133311039,0.12642672495096305,2.9681014605413027,0.046,5670,45,12,A_own,financial,6
0.0642132508875791,0.03195268890632258,0.011655754649162353,0.11677074712599586,1.8452234261965095,0.175,5625,45,12,A_own,financial,7
0.06961291822218554,0.031739910376972595,0.01740541151950751,0.12182042492486359,1.8904441490733872,0.147,5580,45,12,A_own,financial,8
0.058010275217277016,0.032254830928840295,0.004955799577267543,0.11106475085728648,1.3946750085064543,0.247,5535,45,12,A_own,financial,9
0.05737315022260815,0.032810843456192576,0.003404115360352823,0.11134218508486349,1.7351643976930995,0.179,5490,45,12,A_own,financial,10
0.04917556584973759,0.03639349523778983,-0.010686406789582131,0.10903753848905731,1.3412801011304538,0.295,5445,45,12,A_own,financial,11
0.0174113553402578,0.035096233289416065,-0.0403168112781732,0.07513952195868881,0.4326966947014789,0.722,5400,45,12,A_own,financial,12
0.08850332750480897,0.04908591792222087,0.007764177378201703,0.16924247763141623,1.3542497500007737,0.639,5940,45,12,A_own,prof_business,0
0.08652517656043611,0.05845759856081209,-0.009629016455188807,0.182679369576061,2.628503376888968,0.147,5895,45,12,A_own,prof_business,1
0.06734040157307207,0.05911176276320739,-0.029889795803484567,0.16457059894962872,2.815838175275735,0.097,5850,45,12,A_own,prof_business,2
0.039873973111616445,0.07390063533550238,-0.08168175495400276,0.16142970117723565,1.6781189491177457,0.347,5805,45,12,A_own,prof_business,3
0.038978468370706995,0.08613011209073104,-0.10269295889146877,0.18064989563288275,1.0605656923953235,0.548,5760,45,12,A_own,prof_business,4
0.09158005954275326,0.07975048059789817,-0.039597807719822534,0.22275792680532908,2.144878241819337,0.256,5715,45,12,A_own,prof_business,5
0.1309026200454576,0.0771957615360866,0.003926891697544649,0.25787834839337054,3.8584296326532996,0.109,5670,45,12,A_own,prof_business,6
0.12650565755603502,0.06729566730645967,0.01581413510888524,0.2371971800031848,2.5661648731204987,0.248,5625,45,12,A_own,prof_business,7
0.08495305003018655,0.06545230033357444,-0.0227064035658104,0.19261250362618348,1.4734811943773276,0.334,5580,45,12,A_own,prof_business,8
0.06220450408520318,0.0651762717755948,-0.04500092293605879,0.16940993110646516,0.9254642240008222,0.423,5535,45,12,A_own,prof_business,9
0.04443612774059003,0.07149575273415831,-0.07316392045581588,0.16203617593699596,0.8572513485883669,0.418,5490,45,12,A_own,prof_business,10
0.07535710853038702,0.07199233694591876,-0.04305974800781992,0.19377396506859396,1.3422794933226674,0.356,5445,45,12,A_own,prof_business,11
0.014179330144581413,0.06833211051697734,-0.09821698967651757,0.1265756499656804,0.2988783736128668,0.866,5400,45,12,A_own,prof_business,12
0.07385449617292564,0.04448076007824329,0.0006901566286689198,0.14701883571718236,1.4674279118860594,0.417,5940,45,12,A_own,education_health,0
0.06315197661447537,0.04458060725632316,-0.010176596922786885,0.13648055015173763,1.7027792679878568,0.226,5895,45,12,A_own,education_health,1
0.04228406024671409,0.044336703180392185,-0.03064332678662486,0.11521144728005304,1.8568079981353918,0.169,5850,45,12,A_own,education_health,2
0.019410294875244285,0.052075249678232495,-0.06624586843239991,0.10506645818288848,0.8259510346170125,0.446,5805,45,12,A_own,education_health,3
0.008481645813135886,0.06162802971064872,-0.09288744237829774,0.10985073400456952,0.2456360037171861,0.835,5760,45,12,A_own,education_health,4
0.03144587586252612,0.05715098690023431,-0.06255913222418036,0.1254508839492326,0.7785369149411108,0.499,5715,45,12,A_own,education_health,5
0.05069822737797868,0.05769363878813617,-0.04419936363471522,0.1455958183906726,1.631527562397727,0.275,5670,45,12,A_own,education_health,6
0.04700587121286939,0.05145460864396546,-0.037629428438525764,0.13164117086426455,1.0743757746650526,0.349,5625,45,12,A_own,education_health,7
0.02271795163939888,0.052803024865635866,-0.06413529532485103,0.10957119860364879,0.4306287546234229,0.674,5580,45,12,A_own,education_health,8
