h,beta,se,t,lo,hi,district,n_quarters
7,-0.0856514585858111,0.07178369605523956,-1.1931881930389863,-0.20372513139825393,0.03242221422663176,Kansas City,200
8,-0.041389172834799384,0.07930323544435536,-0.5219102676313994,-0.1718313872844338,0.08905304161483506,Kansas City,200
9,0.009005187224163451,0.0953967058923242,0.09439725554389426,-0.14790843046204885,0.16591880491037578,Kansas City,200
10,-0.0015326041617942045,0.11508638971735574,-0.013316988790404972,-0.1908328697011374,0.18776766137754897,Kansas City,200
11,0.011298641115441934,0.12595055742408287,0.08970695601924769,-0.19587159008012042,0.2184688723110043,Kansas City,200
12,0.05405796684805274,0.13258889542392974,0.40771111845537195,-0.1640313586834875,0.272147292379593,Kansas City,200
0,0.12838531886718127,0.09548585887283961,1.3445479821064867,-0.028674942422385358,0.2854455801567479,Minneapolis,200
1,0.08211810012020924,0.05084522601422306,1.6150601847504453,-0.001514854302452892,0.16575105454287137,Minneapolis,200
2,0.07297782528743481,0.04113160126015079,1.774251987562112,0.005322361772354053,0.14063328880251558,Minneapolis,200
3,0.06322653693425148,0.04217092113053323,1.499292290499039,-0.0061384556391905765,0.13259152950769354,Minneapolis,200
4,0.05653932900426752,0.04594741425713483,1.2305225423101573,-0.01903744198562248,0.13211609999415752,Minneapolis,200
5,0.028327346488512012,0.052449826078343934,0.5400846600749382,-0.057944940169425904,0.11459963314644993,Minneapolis,200
6,0.010018957196717188,0.057837809465885834,0.17322504585217072,-0.0851157734781733,0.10515368787160768,Minneapolis,200
7,-0.00818441216676772,0.0617836651940939,-0.13246886763768903,-0.10980949794762848,0.09344067361409306,Minneapolis,200
8,-0.02719220959531593,0.06486030446266275,-0.4192427066229592,-0.13387791663590348,0.07949349744527164,Minneapolis,200
9,2.9158444125242765e-05,0.0615439194272187,0.0004737826969198035,-0.1012015806425446,0.10125989753079508,Minneapolis,200
10,0.04051103966642115,0.062344465833810855,0.6497936765455623,-0.06203648108067476,0.14305856041351706,Minneapolis,200
11,0.03132100029493739,0.056924144135499025,0.550223473195884,-0.062310884647446545,0.12495288523732132,Minneapolis,200
12,0.0020411831139868983,0.05867264137802302,0.03478935098278127,-0.09446672385947727,0.09854909008745108,Minneapolis,200
0,0.08671338339656545,0.04058139257008842,2.1367769291505248,0.01996293264091399,0.15346383415221693,New York,200
1,0.11220116395613404,0.05010923976512621,2.2391312357171507,0.029778799184685262,0.19462352872758282,New York,200
2,0.24698959897047526,0.08914323298198007,2.7707049734263416,0.10036202888188525,0.3936171690590653,New York,200
3,0.29240240536660866,0.08587380391414463,3.4050244898775914,0.15115256753830836,0.43365224319490897,New York,200
4,0.33216776046762236,0.08755198887322212,3.793948769668855,0.18815755402268805,0.47617796691255665,New York,200
5,0.3525503752730265,0.09067108515222418,3.8882337702382554,0.20340971200076483,0.5016910385452882,New York,200
6,0.33362519075721786,0.09494994801685165,3.5136953492381724,0.1774464243828457,0.48980395713159003,New York,200
7,0.2843544823903409,0.10507931553520572,2.706093782035256,0.11151438911467962,0.4571945756660022,New York,200
8,0.27784594511218935,0.10878178182122607,2.5541587981046896,0.09891583673730195,0.4567760534870767,New York,200
9,0.18994176736755347,0.10994277248407044,1.7276421457815614,0.009101999290029694,0.37078153544507725,New York,200
10,0.17045173466633978,0.1069452653241382,1.5938221682813272,-0.005457572887356432,0.346361042220036,New York,200
11,0.15070449680313452,0.10548919203250147,1.4286249984425146,-0.022809783315705823,0.32421877692197487,New York,200
12,0.12094699942113503,0.10082936285956201,1.199521607506272,-0.044902543781621576,0.28679654262389165,New York,200
0,0.016131212104976086,0.04337835376399202,0.371872390380256,-0.055219830414910215,0.0874822546248624,Philadelphia,200
1,0.01983527436717103,0.05426314289742444,0.36553861991861325,-0.06941965303744357,0.10909020177178563,Philadelphia,200
2,0.12432578087704241,0.14032882162732174,0.8859604138002426,-0.10649459034248393,0.35514615209656875,Philadelphia,200
3,0.03018985699432628,0.1014501645781653,0.2975831248757177,-0.13668081416689268,0.19706052815554523,Philadelphia,200
4,-0.07535982230570873,0.1032331265653224,-0.7299965119047674,-0.2451632049582196,0.09444356034680215,Philadelphia,200
5,-0.03267909714666469,0.11438006929979767,-0.28570621915790795,-0.22081756898539762,0.15545937469206822,Philadelphia,200
6,-0.03695774999024258,0.11702180612661618,-0.3158193435354667,-0.2294414922300192,0.155525992249534,Philadelphia,200
7,0.015133418579375685,0.15227419437090622,0.0993826868820204,-0.23533534232272282,0.2656021794814742,Philadelphia,200
8,-0.07984063743758033,0.12442225307699523,-0.6416909794116425,-0.2844970316847499,0.12481575680958923,Philadelphia,200
9,-0.1658212338153462,0.11992529495361848,-1.3827044067682146,-0.36308079018303063,0.03143832255233822,Philadelphia,200
10,-0.16688218639468091,0.12032353754369864,-1.3869454788434332,-0.3647967935310652,0.031032420741703398,Philadelphia,200
11,-0.1853818011155604,0.12562556849220863,-1.4756693509176668,-0.3920174730878103,0.021253870856689505,Philadelphia,200
12,-0.1224003852523645,0.12334825191037935,-0.9923155241899696,-0.3252902047852758,0.08048943428054679,Philadelphia,200
0,0.13513069750446496,0.0935101932764988,1.4450905593243633,-0.01867988306331725,0.2889412780722472,Richmond,199
1,0.11152456823973793,0.08367198449002121,1.3328782497448526,-0.026103598922900775,0.24915273540237665,Richmond,199
2,0.12225736034687451,0.08963881675631356,1.3638886006185877,-0.025185372510386245,0.26970009320413524,Richmond,199
3,0.11287144087301566,0.10330759401707955,1.0925764165445084,-0.05705442983760782,0.28279731158363913,Richmond,199
4,0.05766371853893093,0.1192925696803681,0.4833806388229779,-0.13855509736818372,0.2538825344460456,Richmond,199
5,0.07828956692190167,0.11966850314369162,0.6542203241891953,-0.11854760450585311,0.27512673834965645,Richmond,199
6,0.014641610620661225,0.12229218776913922,0.1197264591283735,-0.18651113797923788,0.2157943592205603,Richmond,199
7,0.0025521378995506977,0.12854981980122362,0.019853298149286124,-0.20889349944445013,0.2139977752435515,Richmond,199
8,-0.025826564235927593,0.13757456800228707,-0.18772775092776048,-0.2521165913907714,0.2004634629189162,Richmond,199
9,0.0500290169610473,0.1432997956306939,0.34912134201488987,-0.18567817162350425,0.28573620554559886,Richmond,199
10,0.03500811602283758,0.14140891847133208,0.2475665354157616,-0.197588856408018,0.26760508845369313,Richmond,199
11,0.03470976716994531,0.1463718196183429,0.23713421928106976,-0.2060504512127726,0.2754699855526632,Richmond,199
12,-0.011062324494300516,0.1485089855165986,-0.07448926040279291,-0.25533786795616137,0.2332132189675603,Richmond,199
0,0.21989732680674295,0.13149874261377767,1.6722390072778035,0.003601143078912683,0.4361935105345732,San Francisco,200
1,0.2308969774961537,0.08717098117359132,2.6487825924128128,0.08751347294785355,0.37428048204445385,San Francisco,200
2,0.2329442829748702,0.08276517678729824,2.8145204543394335,0.0968076817510029,0.36908088419873747,San Francisco,200
3,0.29677031159238537,0.09641136004321087,3.0781674634542555,0.13818773634598575,0.455352886838785,San Francisco,200
4,0.28654762472830725,0.10732726449901683,2.6698493254799405,0.11000998444631946,0.463085265010295,San Francisco,200
5,0.22423978342376477,0.12315707748466995,1.8207624604576798,0.021664417838361955,0.4268151490091676,San Francisco,200
6,0.20975724086644537,0.11642107495977139,1.8017119403761368,0.018261613465276216,0.4012528682676145,San Francisco,200
7,0.19110115695731092,0.1086862678938582,1.7582824459842359,0.012328155012278935,0.3698741589023429,San Francisco,200
8,0.20182908970217364,0.0974131793416127,2.071886895246389,0.0415986683492478,0.3620595110550995,San Francisco,200
9,0.15026665565376082,0.10431815854734411,1.4404649942662024,-0.021321445789736826,0.32185475709725847,San Francisco,200
10,0.20037229014193975,0.09949277845102794,2.013938029085864,0.03672123265128718,0.3640233476325923,San Francisco,200
11,0.1727807353936787,0.10589873403689302,1.6315656364077524,-0.0014071813764740815,0.34696865216383144,San Francisco,200
12,0.1493229218035117,0.10715450515559853,1.3935291062814448,-0.026930554645864746,0.32557639825288814,San Francisco,200
0,0.038156672340342805,0.03059876350850267,1.2470004655495301,-0.012173814796848162,0.08848715947753377,St. Louis,200
1,0.03448450848103724,0.03783228127393582,0.9115101527011273,-0.027744056588244345,0.09671307355031883,St. Louis,200
2,0.06298840252097611,0.04879290850406433,1.2909335485858429,-0.01726879000144542,0.14324559504339762,St. Louis,200
3,0.06380294946926042,0.048763212182968606,1.308423842749734,-0.016405396951699694,0.14401129589022055,St. Louis,200
4,0.0757465109711889,0.05806584270921637,1.304493441187347,-0.019763301011059345,0.17125632295343712,St. Louis,200
5,0.07148376745117115,0.07378482738396529,0.9688139145353045,-0.04988147348533245,0.19284900838767474,St. Louis,200
6,0.04685632766674896,0.0899543157978232,0.5208902680340639,-0.10110535493323863,0.19481801026673656,St. Louis,200
7,0.028745688992089413,0.09969279035968552,0.28834270651244404,-0.13523435881195206,0.19272573679613086,St. Louis,200
8,0.031576176907601415,0.11085330720063441,0.28484650304975934,-0.15076128750092782,0.21391364131613066,St. Louis,200
9,0.011819089099390204,0.12098905919907377,0.09768725517522402,-0.18719020374565265,0.21082838194443304,St. Louis,200
10,-0.0026130723439545867,0.12724196959597298,-0.020536245644827606,-0.21190748753433966,0.2066813428464305,St. Louis,200
11,-0.023728907150680323,0.1312748306136123,-0.18075747681231283,-0.23965678841292065,0.19219897411156,St. Louis,200
12,-0.021810661394848066,0.13150500774980103,-0.16585422690780433,-0.23811715035438974,0.19449582756469358,St. Louis,200
