proxy,sample,detrend,scheme,family,sigma_hat,se,resp_h12,peak_h,n_obs,error,diag_n_fail,ci_lo,ci_hi,diag_n_accepted,diag_n_trad,diag_n_narr,diag_ess,diag_events,diag_first_stage_F,diag_fev_share,diag_u_col,diag_var_ratio,diag_k_breaks,diag_kurt,diag_p_aug,diag_hd_events
vix,full,lt,chol_first,recursive,-0.775317607300343,0.31457754688939216,-0.5639732889330421,2,438,,0.0,-1.2927516262588565,-0.25788358834182956,,,,,,,,,,,,,
vix,full,fd,nongauss,non-Gaussian,-0.7716450785016524,0.4520483448901471,-0.3389196709175972,2,438,,0.0,-1.515198438151621,-0.028091718851683933,,,,,,,,1.0,,,25.29,,
epu,post1985,lt,la_lp,local-projection,-0.7702993601101953,0.42978666590880854,-0.6158460528912802,16,491,,,-1.4772355163456796,-0.06336320387471095,,,,,,,,,,,,30.0,
wui,pre2020,lt,rigobon,heteroskedasticity,-0.755531665007831,0.8330089084185225,-0.7502380862510658,14,786,,0.0,-2.1257093893029246,0.6146460592872625,,,,,,,,2.0,1.71,,,,
wui,full,lt,rigobon,heteroskedasticity,-0.7508499820771064,0.5873517476707862,-0.7508499820771064,12,841,,0.0,-1.716957634529685,0.21525767037547228,,,,,,,,1.0,1.34,,,,
wui,full,fd,rigobon,heteroskedasticity,-0.7465080753113704,0.7424567191125724,-0.7465080753113704,12,841,,0.0,-1.9677407025981755,0.4747245519754346,,,,,,,,1.0,1.34,,,,
vix,full,lt,chol_last,recursive,-0.7349448128485089,0.14733812523348025,-0.34360563440078706,2,438,,0.0,-0.9772944625270291,-0.49259516316998864,,,,,,,,,,,,,
wui,pre2020,lt,chol_last,recursive,-0.7274924352236997,0.262022052006584,-0.7252027247851507,13,786,,0.0,-1.1584803578079965,-0.2965045126394027,,,,,,,,,,,,,
vix,full,lt,nongauss,non-Gaussian,-0.6882067945764446,0.48596007826767873,-0.19630232445272308,2,438,,0.0,-1.4875399918686574,0.11112640271576801,,,,,,,,1.0,,,25.01,,
epu,post1985,lt,chol_first,recursive,-0.6790647373478562,0.2511008057382467,-0.62949923674511,20,491,,0.0,-1.0920888083968485,-0.266040666298864,,,,,,,,,,,,,
vix,pre2020,lt,chol_last,recursive,-0.6705599497265906,0.25489117066662,-0.5526974632144298,8,360,,0.0,-1.0898186162754873,-0.251301283177694,,,,,,,,,,,,,
vix,pre2020,fd,chol_first,recursive,-0.6679046568195653,0.6661934309817961,-0.6540362473491343,9,360,,0.0,-1.763695338021218,0.4278860243820871,,,,,,,,,,,,,
wui,pre2020,lt,la_lp,local-projection,-0.6280147047819844,0.3067317304175948,-0.42707071433365157,10,786,,,-1.1325435040604663,-0.12348590550350247,,,,,,,,,,,,30.0,
epu,post1985,fd,maxshare,max-share,-0.6140227469079002,0.8398624298953873,-0.5728986602311781,24,491,,,-1.9954735108616046,0.7674280170458042,,,,,,,0.704,,,,,,
epu,post1985,lt,magmav,heteroskedasticity,-0.5741593126492229,,-0.5183976374858642,20,491,,,,,,,,,,,,2.0,,4.0,,,
epu,post1985,lt,chol_last,recursive,-0.5338256821556348,0.21693748395732412,-0.468394975912928,21,491,,0.0,-0.8906560894645661,-0.17699527484670335,,,,,,,,,,,,,
epu,post1985,fd,chol_first,recursive,-0.5145051080871684,0.7631553516127606,-0.4740771784130042,24,491,,0.0,-1.7697839561148436,0.7407737399405069,,,,,,,,,,,,,
epu,post1985,lt,nongauss,non-Gaussian,-0.48433133413606777,0.36957565426797007,-0.41588001981511186,22,491,,0.0,-1.0922291894917016,0.12356652121956613,,,,,,,,1.0,,,14.38,,
vix,pre2020,lt,la_lp,local-projection,-0.4842191367968479,0.4479749071691935,-0.33768712866072503,14,360,,,-1.221072287637345,0.25263401404364916,,,,,,,,,,,,30.0,
vix,pre2020,lt,chol_first,recursive,-0.3817139109806376,0.3288742901919906,-0.2651978129501896,8,360,,0.0,-0.9226639800140244,0.1592361580527491,,,,,,,,,,,,,
epu,post1985,fd,chol_last,recursive,-0.35423902377655864,0.656826636002601,-0.3153613172739924,24,491,,0.0,-1.4346226982837715,0.7261446507306542,,,,,,,,,,,,,
epu,post1985,fd,nongauss,non-Gaussian,-0.23951095817367296,0.19166365220392856,-0.13945632133200836,2,491,,0.0,-0.5547696116560703,0.07574769530872444,,,,,,,,1.0,,,14.84,,
epu,post1985,lt,rigobon,heteroskedasticity,0.19077514813861543,0.2077406505726503,-0.012184890947153068,0,491,,0.0,-0.1509278144210668,0.5324781106982976,,,,,,,,0.0,0.89,,,,
epu,post1985,fd,rigobon,heteroskedasticity,0.24788999543507179,0.353688556932976,0.23151082621447847,6,491,,0.0,-0.3338759102473661,0.8296559011175098,,,,,,,,0.0,0.9,,,,
vix,pre2020,fd,magmav,heteroskedasticity,0.39476731947131805,,-0.17577463595080095,0,360,,,,,,,,,,,,2.0,,3.0,,,
vix,pre2020,fd,nongauss,non-Gaussian,0.42962712997718144,0.18179547879203165,0.004296474079127002,0,360,,0.0,0.13060017732272877,0.7286540826316341,,,,,,,,1.0,,,11.44,,
vix,pre2020,lt,nongauss,non-Gaussian,0.501650677984537,0.5913256933544697,0.2521211215659184,24,360,,0.0,-0.4709935334391566,1.4742948894082306,,,,,,,,1.0,,,11.23,,
vix,pre2020,lt,magmav,heteroskedasticity,0.6144972917220163,,0.3431618398385297,24,360,,,,,,,,,,,,0.0,,4.0,,,
epu,full,lt,rigobon,heteroskedasticity,1.4328152417041928,1.3591359770299087,0.9279470319154455,5,857,,0.0,-0.8027644996336853,3.668394983042071,,,,,,,,1.0,1.77,,,,
epu,full,fd,rigobon,heteroskedasticity,1.472136629119039,1.4768411523400549,1.2017246071702075,6,857,,0.0,-0.9570508967386919,3.90132415497677,,,,,,,,1.0,1.79,,,,
jln,pre2020,lt,magmav,heteroskedasticity,3.308071194883294,,-0.6049149492118018,0,714,,,,,,,,,,,,3.0,,4.0,,,
jln,pre2020,lt,nongauss,non-Gaussian,3.394718910181616,3.4699373991334213,-0.7608133107786968,0,714,,0.0,-2.3128202060775505,9.102258026440783,,,,,,,,3.0,,,2.17,,
epu,full,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
