proxy,sample,detrend,scheme,family,sigma_hat,se,resp_h12,peak_h,n_obs,error,diag_n_fail,ci_lo,ci_hi,diag_n_accepted,diag_n_trad,diag_n_narr,diag_ess,diag_events,diag_first_stage_F,diag_fev_share,diag_u_col,diag_var_ratio,diag_k_breaks,diag_kurt,diag_p_aug,diag_hd_events
vix,post1985,lt,chol_last,recursive,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,sign,sign,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,narrative,narrative-sign,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,proxy,proxy,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,maxshare,max-share,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,rigobon,heteroskedasticity,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,magmav,heteroskedasticity,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,nongauss,non-Gaussian,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,la_lp,local-projection,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,narrative_t2,narrative-sign,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,lt,narrative_t3,narrative-sign,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,chol_first,recursive,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,chol_last,recursive,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,sign,sign,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,narrative,narrative-sign,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,proxy,proxy,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,maxshare,max-share,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,rigobon,heteroskedasticity,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,magmav,heteroskedasticity,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,nongauss,non-Gaussian,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,la_lp,local-projection,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,narrative_t2,narrative-sign,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,post1985,fd,narrative_t3,narrative-sign,,,,-1,0,duplicate of sample=full (same effective window),,,,,,,,,,,,,,,,
vix,pre2020,lt,narrative_t3,narrative-sign,,,,-1,360,"ValueError: run_scheme[narrative_t3]: Type III restricts the COVID month, which is outside this cell's window — cell would duplicate narrative_t2.",,,,,,,,,,,,,,,,
vix,pre2020,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
vix,pre2020,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
vix,pre2020,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
vix,pre2020,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
