date,epu,wui,jln,vix,ip,emp,ffr
1921-08-01,0.1167842731261453,,,,138.26125917172652,,
1921-09-01,0.1610246256926847,,,,138.93397193058507,,
1921-10-01,-0.5325298268917434,,,,144.7977246307475,,
1921-11-01,-0.7134369439075616,,,,143.52511780686433,,
1921-12-01,-0.404187294102478,,,,142.88268918385933,,
1922-01-01,-0.3742079240340826,,,,146.67908119902575,,
1922-02-01,-0.40501104479540834,,,,150.93523486117437,,
1922-03-01,-0.6332675825488182,,,,156.15493417071266,,
1922-04-01,-0.6274903192959552,,,,152.70558038281328,,
1922-05-01,-0.6553627885535863,,,,157.83599568632388,,
1922-06-01,-0.5318102532747115,,,,162.71402965471054,,
1922-07-01,-0.4847607443767563,,,,162.71402965471054,,
1922-08-01,-0.531857911601959,,,,160.57511245761052,,
1922-09-01,-0.5224740540913426,,,,165.83994904827622,,
1922-10-01,-0.834850627159095,,,,171.32752686733542,,
1922-11-01,-0.685677646396042,,,,175.6028659272256,,
1922-12-01,-0.8087082223049504,,,,178.3559272662715,,
1923-01-01,-0.2858520702935112,,,,176.06643207441118,,
1923-02-01,-0.6758412361497886,,,,177.44607046497256,,
1923-03-01,-0.8477985220549649,,,,180.59253247009542,,
1923-04-01,-0.6102895563750945,,,,182.78181370992402,,
1923-05-01,-0.5539590245543299,,,,184.07083509599184,,
1923-06-01,-0.5845719147530933,,,,183.21333633663284,,
1923-07-01,-0.15597305988355012,,,,182.3468062571775,,
1923-08-01,-0.5249470514046529,,,,180.59253247009542,,
1923-09-01,-0.5755269012367658,,,,178.3559272662715,,
1923-10-01,-0.5048431579859726,,,,177.90287767492364,,
1923-11-01,-0.5873358292358267,,,,177.90287767492364,,
1923-12-01,-0.5262248315701208,,,,175.6028659272256,,
1924-01-01,-0.26265656104896845,,,,177.90118964055523,,
1924-02-01,-0.6277436467988169,,,,179.70454736572924,,
1924-03-01,-0.3238377708418584,,,,177.90287767492364,,
1924-04-01,-0.2371103551562489,,,,174.6692365858747,,
1924-05-01,0.5221498948357753,,,,170.35109636739898,,
1924-06-01,-0.06532155150655276,,,,165.83994904827622,,
1924-07-01,-0.3934575922801557,,,,164.28920306930445,,
1924-08-01,-0.16584303233209066,,,,167.87027469357582,,
1924-09-01,-0.6522554656170532,,,,171.32752686733542,,
1924-10-01,0.17685793024356686,,,,173.72504837276622,,
1924-11-01,0.10281568453432519,,,,175.6028659272256,,
1924-12-01,-0.31540023318692434,,,,178.3559272662715,,
1925-01-01,-0.2969651867147594,,,,181.47433056184303,,
1925-02-01,-0.8639227437752701,,,,181.47433056184303,,
1925-03-01,-0.5368461946034607,,,,181.47433056184303,,
1925-04-01,-0.5967826494379332,,,,182.3468062571775,,
1925-05-01,-0.5428758456175214,,,,181.91151992379102,,
1925-06-01,-0.7137404804650446,,,,181.03358548009905,,
1925-07-01,-1.117751665939183,,,,183.6430048436492,,
1925-08-01,-0.6677833541271242,,,,181.91151992379102,,
1925-09-01,-0.7541017136912607,,,,180.59253247009542,,
1925-10-01,-0.45705246141271255,,,,184.49842304653527,,
1925-11-01,-0.5113863106950234,,,,186.60317136026424,,
1925-12-01,-0.7563510524885306,,,,187.84569080553675,,
1926-01-01,-0.7695512008967893,,,,186.18606152407432,,
1926-02-01,-0.7312984794670474,,,,186.18606152407432,,
1926-03-01,-0.9399671762241407,,,,187.43374219886374,,
1926-04-01,-1.0139710267739659,,,,187.43374219886374,,
1926-05-01,-0.6430642551475637,,,,186.60317136026424,,
1926-06-01,-0.8167744277537818,,,,187.84569080553675,,
1926-07-01,-0.548641831970416,,,,188.2559493554494,,
1926-08-01,-0.5111920526681867,,,,189.4782254522287,,
1926-09-01,-0.5878972577556824,,,,191.08453595043576,,
1926-10-01,-0.6571140642689183,,,,191.08453595043576,,
1926-11-01,-0.1893526837900392,,,,190.68574217916122,,
1926-12-01,-0.5960389110352551,,,,190.28535167336418,,
1927-01-01,-0.6487170697543467,,,,189.88185415214627,,
1927-02-01,-0.814807951197386,,,,190.68574217916122,,
1927-03-01,-0.9413598733702392,,,,191.8788517356596,,
1927-04-01,-0.7842887666674077,,,,189.4782254522287,,
1927-05-01,-0.7667636586236461,,,,190.28535167336418,,
1927-06-01,-0.674190378543699,,,,189.88185415214627,,
1927-07-01,-0.5309597870687608,,,,188.66453165918603,,
1927-08-01,-0.733220251169997,,,,188.66453165918603,,
1927-09-01,-0.7553590880377383,,,,187.01854861456766,,
1927-10-01,-0.798969947938184,,,,184.92261688763833,,
1927-11-01,-0.8319700504612123,,,,184.92261688763833,,
1927-12-01,-0.5520089263526501,,,,185.34501892264873,,
1928-01-01,-0.6120409663392357,,,,187.43374219886374,,
1928-02-01,-0.8171826783824001,,,,188.2559493554494,,
1928-03-01,-0.9072193272135008,,,,189.0729609863867,,
1928-04-01,-0.7826234101899302,,,,188.66453165918603,,
1928-05-01,-0.9631544962913257,,,,189.88185415214627,,
1928-06-01,-0.854403831962651,,,,190.68574217916122,,
1928-07-01,-0.5812488539802598,,,,191.8788517356596,,
