beta,psik,ok,n_stable,margin,robust
0.9805,3.175,True,12,0.03900778468233235,True
0.98775,3.175,True,12,0.03137583203718852,True
0.995,3.175,True,12,0.023874529592314175,True
0.85,3.6625,True,12,0.10000117314518231,True
0.85725,3.6625,True,12,0.09905999421898626,True
0.8644999999999999,3.6625,True,12,0.09709723037266282,True
0.87175,3.6625,True,12,0.09503140252978326,True
0.879,3.6625,True,12,0.09285192448132906,True
0.88625,3.6625,True,12,0.09054784318188869,True
0.8935,3.6625,True,12,0.0881051566258454,True
0.9007499999999999,3.6625,True,12,0.08550836591440103,True
0.908,3.6625,True,12,0.08273879776745952,True
0.91525,3.6625,True,12,0.07977472232647753,True
0.9225,3.6625,True,12,0.07659013523364355,True
0.92975,3.6625,True,12,0.0731539240678245,True
0.937,3.6625,True,12,0.06942864710356855,True
0.94425,3.6625,True,12,0.0653688574166853,True
0.9515,3.6625,True,12,0.060919808565538025,True
0.95875,3.6625,True,12,0.05601619987415163,True
0.966,3.6625,True,12,0.050583922501768686,True
0.97325,3.6625,True,12,0.04454959610940523,True
0.9805,3.6625,True,12,0.037877652493572556,True
0.98775,3.6625,True,12,0.03068444455285191,True
0.995,3.6625,True,12,0.023532737603763065,True
0.85,4.15,True,12,0.09426666990944932,True
0.85725,4.15,True,12,0.09261227780740555,True
0.8644999999999999,4.15,True,12,0.09087102280428627,True
0.87175,4.15,True,12,0.08903511115184515,True
0.879,4.15,True,12,0.08709455474338779,True
0.88625,4.15,True,12,0.08503844162305296,True
0.8935,4.15,True,12,0.08285419539267003,True
0.9007499999999999,4.15,True,12,0.08052680485798469,True
0.908,4.15,True,12,0.0780385914298175,True
0.91525,4.15,True,12,0.07536891158561965,True
0.9225,4.15,True,12,0.07249279163767297,True
0.92975,4.15,True,12,0.06938043307252184,True
0.937,4.15,True,12,0.06599546267048562,True
0.94425,4.15,True,12,0.06229364579209029,True
0.9515,4.15,True,12,0.05822101626971077,True
0.95875,4.15,True,12,0.053712299642789674,True
0.966,4.15,True,12,0.048691741283318546,True
0.97325,4.15,True,12,0.043080903813586424,True
0.9805,4.15,True,12,0.03683186279982387,True
0.98775,4.15,True,12,0.030034885594411365,True
0.995,4.15,True,12,0.023205868428684107,True
0.85,4.6375,True,12,0.08851284078871968,True
0.85725,4.6375,True,12,0.08703449035171684,True
0.8644999999999999,4.6375,True,12,0.08547624676735432,True
0.87175,4.6375,True,12,0.08383014632270802,True
0.879,4.6375,True,12,0.08208718866654874,True
0.88625,4.6375,True,12,0.0802370851826012,True
0.8935,4.6375,True,12,0.07826785920740142,True
0.9007499999999999,4.6375,True,12,0.07616528688306257,True
0.908,4.6375,True,12,0.07391275083046234,True
0.91525,4.6375,True,12,0.07149042055784205,True
0.9225,4.6375,True,12,0.06887453270966826,True
0.92975,4.6375,True,12,0.06603637228478632,True
0.937,4.6375,True,12,0.06294097974037416,True
0.94425,4.6375,True,12,0.059545303581168496,True
0.9515,4.6375,True,12,0.05579640669680885,True
0.95875,4.6375,True,12,0.05162971084843315,True
0.966,4.6375,True,12,0.046968681612559626,True
0.97325,4.6375,True,12,0.04173148956606154,True
0.9805,4.6375,True,12,0.03586030526582007,True
0.98775,4.6375,True,12,0.029422935033673325,True
0.995,4.6375,True,12,0.022892799655984897,True
0.85,5.125,True,12,0.0834826257628628,True
0.85725,5.125,True,12,0.08215155063923696,True
0.8644999999999999,5.125,True,12,0.08074638824138591,True
0.87175,5.125,True,12,0.07925976177458971,True
0.879,5.125,True,12,0.07768308864283735,True
0.88625,5.125,True,12,0.07600666323472705,True
0.8935,5.125,True,12,0.07421917205255035,True
0.9007499999999999,5.125,True,12,0.07230712698369735,True
0.908,5.125,True,12,0.070254830093605,True
0.91525,5.125,True,12,0.06804327668297228,True
0.9225,5.125,True,12,0.06564988662898907,True
0.92975,5.125,True,12,0.06304701133229595,True
0.937,5.125,True,12,0.06020094558908229,True
0.94425,5.125,True,12,0.05707005861517578,True
0.9515,5.125,True,12,0.05360269293300768,True
0.95875,5.125,True,12,0.04973519685318295,True
0.966,5.125,True,12,0.045391001782527085,True
0.97325,5.125,True,12,0.040485914524140965,True
0.9805,5.125,True,12,0.03495441318331094,True
0.98775,5.125,True,12,0.02884507692212701,True
0.995,5.125,True,12,0.02259256561145495,True
0.85,5.6125,True,12,0.079040049050354,True
0.85725,5.6125,True,12,0.07783388845705708,True
0.8644999999999999,5.6125,True,12,0.07655878401328464,True
0.87175,5.6125,True,12,0.0752077066929393,True
0.879,5.6125,True,12,0.07377279101937961,True
0.88625,5.6125,True,12,0.07224480710694214,True
0.8935,5.6125,True,12,0.07061289242580382,True
0.9007499999999999,5.6125,True,12,0.06886433951168724,True
0.908,5.6125,True,12,0.06698418957048813,True
0.91525,5.6125,True,12,0.06495444012263107,True
0.9225,5.6125,True,12,0.06275338272287267,True
0.92975,5.6125,True,12,0.060354580531628454,True
0.937,5.6125,True,12,0.057725543754991615,True
0.94425,5.6125,True,12,0.0548259938998249,True
0.9515,5.6125,True,12,0.051605674384775146,True
0.95875,5.6125,True,12,0.048002122874840514,True
0.966,5.6125,True,12,0.04393924290815787,True
0.97325,5.6125,True,12,0.039331394818325593,True
0.9805,5.6125,True,12,0.03410696525486634,True
0.98775,5.6125,True,12,0.028298112416883958,True
0.995,5.6125,True,12,0.02230423491869382,True
0.85,6.1,True,12,0.07508236211108954,True
0.85725,6.1,True,12,0.07398331213667853,True
0.8644999999999999,6.1,True,12,0.07281991335628746,True
0.87175,6.1,True,12,0.07158557960617329,True
0.879,6.1,True,12,0.07027291318082596,True
0.88625,6.1,True,12,0.06887303604665995,True
0.8935,6.1,True,12,0.06737574065995511,True
0.9007499999999999,6.1,True,12,0.06576905109804798,True
0.908,6.1,True,12,0.06403847699641041,True
0.91525,6.1,True,12,0.062167030096883624,True
0.9225,6.1,True,12,0.06013393120888566,True
0.92975,6.1,True,12,0.05791375270753374,True
0.937,6.1,True,12,0.05547529449680788,True
0.94425,6.1,True,12,0.052779603227517735,True
0.9515,6.1,True,12,0.04977786985771526,True
0.95875,6.1,True,12,0.0464089114331,True
