param,value,ok,n_stable,margin,robust,boundary_root
rhon,0.426,True,12,0.08030909414310083,True,0.9196909058568992
rhon,0.48866666666666664,True,12,0.08030911711968369,True,0.9196908828803163
rhon,0.5513333333333333,True,12,0.08030908511333346,True,0.9196909148866665
rhon,0.614,True,12,0.08030915568241048,True,0.9196908443175895
rhon,0.6766666666666666,True,12,0.08030912402307211,True,0.9196908759769279
rhon,0.7393333333333333,True,12,0.08030921692883097,True,0.919690783071169
rhon,0.802,True,12,0.08030927168170154,True,0.9196907283182985
rhon,0.8646666666666667,True,12,0.08030938811308963,True,0.9196906118869104
rhon,0.9273333333333333,True,12,0.07266925446159767,True,0.9273307455384023
rhon,0.99,True,12,0.010000020007935428,True,0.9196910448135096
rhop,0.05,True,12,0.08030907583588276,True,0.9196909241641172
rhop,0.11266666666666666,True,12,0.0803090766740655,True,0.9196909233259345
rhop,0.17533333333333334,True,12,0.08030907658195097,True,0.919690923418049
rhop,0.238,True,12,0.08030907607571758,True,0.9196909239242824
rhop,0.30066666666666664,True,12,0.08030907620009942,True,0.9196909237999006
rhop,0.3633333333333333,True,12,0.08030907664318143,True,0.9196909233568186
rhop,0.426,True,12,0.08030907719239067,True,0.9196909228076093
rhop,0.48866666666666664,True,12,0.08030907778167473,True,0.9196909222183253
rhop,0.5513333333333333,True,12,0.08030907654266761,True,0.9196909234573324
rhop,0.614,True,12,0.08030907847652813,True,0.9196909215234719
rhop,0.6766666666666666,True,12,0.08030907738629123,True,0.9196909226137088
rhop,0.7393333333333333,True,12,0.08030908102888012,True,0.9196909189711199
rhop,0.802,True,12,0.08030908352978228,True,0.9196909164702177
rhop,0.8646666666666667,True,12,0.08030909937536146,True,0.9196909006246385
rhop,0.9273333333333333,True,12,0.07266672417478393,True,0.9196909857647091
rhop,0.99,True,12,0.010000010092418687,True,0.9196909397242522
