code,date,Y,C,I,K,EMP,H,use_hours,alpha,alpha_c,logA,logS,logD
GBR,2018-04-01,659172.0,506032.0,160172.0,7476063.71668416,32386.4,15545472.0,0,0.523360562510287,0.50997556777916,-2.78720594244997,0.0103505693112386,-0.0037593203006082
GBR,2018-07-01,661262.0,510536.0,157375.0,7524094.7609339,32430.6,15566688.0,0,0.520028982317118,0.50997556777916,-2.78797456005225,0.004654951979375,0.182818717068205
GBR,2018-10-01,662120.0,516414.0,162715.0,7568608.33951989,32597.3,15646704.0,0,0.51939177173457,0.50997556777916,-2.79219845346787,-0.0054959852390778,0.230920497202739
GBR,2019-01-01,665456.0,516626.0,183293.0,7617794.21442709,32776.0,15732480.0,0,0.516498671441775,0.50997556777916,-2.79315518305866,-0.0008807127822447,0.0328380484048931
GBR,2019-04-01,666875.0,518859.0,163732.0,7686820.30121069,32963.1,15822288.0,0,0.512744320359362,0.50997556777916,-2.79841456721902,-0.0030635721577994,0.114654042962007
GBR,2019-07-01,670547.0,517807.0,160075.0,7735249.99669253,32896.2,15790176.0,0,0.515811937947065,0.50997556777916,-2.79513080400154,0.0044571869892776,-0.0091898787891328
GBR,2019-10-01,670587.0,519504.0,141927.0,7779296.24674214,33056.8,15867264.0,0,0.517698424800756,0.50997556777916,-2.80035332159548,0.0012449137393121,0.101589178081509
GBR,2020-01-01,652180.0,507244.0,149695.0,7804533.80304101,32976.0,15828480.0,0,0.511202881839228,0.50997556777916,-2.82863873278305,-0.0027055769632504,-0.572025850575519
GBR,2020-04-01,522356.0,396288.0,106860.0,7837160.79599539,32633.8,15664224.0,0,0.445887283963701,0.50997556777916,-3.04762582868642,0.022174103862414,
GBR,2020-07-01,610972.0,464258.0,153189.0,7826463.38405546,32357.2,15531456.0,0,0.493667629678024,0.50997556777916,-2.88605638545478,0.0205766751692977,1.62763146427041
GBR,2020-10-01,619330.0,468426.0,173342.0,7862255.43329463,32268.3,15488784.0,0,0.483884966964504,0.50997556777916,-2.87344800276316,0.0252260860049001,0.293605453400589
GBR,2021-01-01,612665.0,461276.0,162814.0,7917663.60179521,32313.7,15510576.0,0,0.48442533332355,0.50997556777916,-2.8885382926137,0.0297877073066447,-0.219518070002977
GBR,2021-04-01,655443.0,508606.0,147799.0,7961712.64776828,32450.4,15576192.0,0,0.499503057109405,0.50997556777916,-2.82594320197874,-0.0003963313666054,1.20159818448553
GBR,2021-07-01,666498.0,521361.0,163021.0,7990085.95805176,32724.4,15707712.0,0,0.507188205976984,0.50997556777916,-2.81515181217734,-0.0084395854778675,0.478192997705423
GBR,2021-10-01,675680.0,521860.0,157411.0,8033255.66868098,32731.7,15711216.0,0,0.515932823062153,0.50997556777916,-2.80432659497224,0.0042862142493592,0.0815068613545305
GBR,2022-01-01,682527.0,527450.0,186973.0,8070167.83365076,32790.4,15739392.0,0,0.513564703200891,0.50997556777916,-2.79746003636936,0.0037139883291657,0.251582860430045
GBR,2022-04-01,686335.0,531578.0,170914.0,8136088.316146,33002.3,15841104.0,0,0.516528414983427,0.50997556777916,-2.79920152304236,0.0014818809777115,0.205352393778203
GBR,2022-07-01,687029.0,533300.0,143283.0,8184960.99140381,32921.4,15802272.0,0,0.518132730882622,0.50997556777916,-2.80004238123151,-0.0007416380161337,0.127485818376597
GBR,2022-10-01,688817.0,534144.0,142811.0,8205469.57653275,33116.5,15895920.0,0,0.519375113141804,0.50997556777916,-2.80161489944725,0.0002761436246775,0.0956938402634711
GBR,2023-01-01,689206.0,532498.0,158063.0,8225198.53288476,33324.8,15995904.0,0,0.518725135969988,0.50997556777916,-2.80534757845759,0.0039270443944915,0.0024988585458211
GBR,2023-04-01,689491.0,536590.0,161376.0,8259883.55489149,33349.8,16007904.0,0,0.517599598618365,0.50997556777916,-2.80744762489936,-0.0033146820104312,0.213404728007662
GBR,2023-07-01,687839.0,533194.0,161980.0,8297361.30156812,33349.8,16007904.0,0,0.516968694713571,0.50997556777916,-2.8121551595824,0.0006354392332081,-0.0587159992887134
GBR,2023-10-01,685628.0,533095.0,167509.0,8334880.8820446,33378.9,16021872.0,0,0.514035951736026,0.50997556777916,-2.8181029901204,-0.0023984623509141,0.081008605172165
GBR,2024-01-01,691387.0,534953.0,163483.0,8377366.66881393,33335.3,16000944.0,0,0.513265926122112,0.50997556777916,-2.81169089638748,0.0024868080520672,0.149017388278401
GBR,2024-04-01,695793.0,536197.0,176406.0,8415189.16878172,33489.2,16074816.0,0,0.513887185091838,0.50997556777916,-2.80989279995243,0.0065165471869234,0.125189737800335
GBR,2024-07-01,697153.0,539276.0,167137.0,8465367.33124999,33775.2,16212096.0,0,0.512375307531329,0.50997556777916,-2.81513903285512,0.0027433753866325,0.192595532329332
GBR,2024-10-01,698832.0,540838.0,172806.0,8505523.82128124,33863.0,16254240.0,0,0.506153285433047,0.50997556777916,-2.81641915816328,0.0022565572074968,0.142390789797513
GBR,2025-01-01,703458.0,541118.0,176240.0,8550746.96396202,33975.5,16308240.0,0,0.503016969031484,0.50997556777916,-2.81415093427454,0.0083367793549656,0.0949639406822157
GBR,2025-04-01,705403.0,543182.0,176495.0,8598725.75950259,34214.0,16422720.0,0,0.499373171198901,0.50997556777916,-2.81767118338773,0.0072908077105441,0.161176259058507
KOR,2000-01-01,243573100.0,166284200.0,92746100.0,3707863746.9233,20969.0,10065120.0,0,0.5,0.5,0.231773521894186,-0.026165923463788,
KOR,2000-04-01,247325900.0,167769500.0,92075800.0,3744991890.71945,21048.2,10103136.0,0,0.5,0.5,0.240196599494228,-0.0197687669752121,0.0014066244921107
KOR,2000-07-01,254117200.0,169358200.0,94942500.0,3780892812.35866,21285.8,10217184.0,0,0.5,0.5,0.256902346362416,-0.002105074208716,-0.0035850236032446
KOR,2000-10-01,253273000.0,170412900.0,93394600.0,3819121920.17328,21387.2,10265856.0,0,0.5,0.5,0.246168334101552,-0.0116410110089517,-0.0684781256231327
KOR,2001-01-01,255820800.0,172210700.0,92389700.0,3855229691.37068,21214.5,10182960.0,0,0.5,0.5,0.255526398362716,-0.0121261813552166,0.0339810092419079
KOR,2001-04-01,259678300.0,176600600.0,93279700.0,3889790946.00012,21594.6,10365408.0,0,0.5,0.5,0.257151156158592,-0.0223317820537617,0.319518751729633
KOR,2001-07-01,262985600.0,179922800.0,96408600.0,3924723781.81011,21726.8,10428864.0,0,0.5,0.5,0.262284977740516,-0.0283132457823546,0.195822254408971
KOR,2001-10-01,266982900.0,183638300.0,98822800.0,3962261525.08296,21908.4,10516032.0,0,0.5,0.5,0.268449019767847,-0.0336681042975169,0.22474296972125
KOR,2002-01-01,274419900.0,189913900.0,97834700.0,4001650402.20672,22136.0,10625280.0,0,0.5,0.5,0.285810303607071,-0.0397960500778848,0.429772085783729
KOR,2002-04-01,279643700.0,193189500.0,101513500.0,4039460346.17362,22193.5,10652880.0,0,0.5,0.5,0.29866796161055,-0.0380399332290399,0.132915052873584
KOR,2002-07-01,284837500.0,193718900.0,106458600.0,4080381940.98101,22276.5,10692720.0,0,0.5,0.5,0.310164336178674,-0.0223739506093471,-0.211425134137029
KOR,2002-10-01,287527500.0,194895800.0,108274200.0,4125634811.8663,22330.7,10718736.0,0,0.5,0.5,0.312834298358427,-0.0190312025390494,-0.121962718277169
KOR,2003-01-01,285982500.0,194740800.0,107618200.0,4172024489.6883,22224.7,10667856.0,0,0.5,0.5,0.304234723121069,-0.0236234770543512,-0.295622602940979
KOR,2003-04-01,286171600.0,194204700.0,105402200.0,4217062322.34298,22089.3,10602864.0,0,0.5,0.5,0.302582538004704,-0.020205780133543,-0.347101631038385
KOR,2003-07-01,290747700.0,195362400.0,107465400.0,4259208587.50783,22216.8,10664064.0,0,0.5,0.5,0.31059676639985,-0.0102850681150704,-0.104116652085337
KOR,2003-10-01,298161400.0,196310600.0,110220700.0,4302785858.69522,22371.3,10738224.0,0,0.5,0.5,0.327221111477888,0.0100521982125872,-0.147525267674702
KOR,2004-01-01,302404300.0,195810300.0,110527300.0,4348464770.81479,22711.2,10901376.0,0,0.5,0.5,0.328531286111038,0.0267338767622571,-0.364984184390594
KOR,2004-04-01,304926100.0,197024800.0,110460300.0,4393765099.25257,22590.8,10843584.0,0,0.5,0.5,0.334311771789536,0.0288551894204175,-0.114546711654456
KOR,2004-07-01,305706200.0,197890800.0,110693400.0,4438318922.76378,22636.2,10865376.0,0,0.5,0.5,0.330818418824463,0.0270244930028452,-0.153492269028555
KOR,2004-10-01,308211900.0,199948200.0,114939100.0,4482437538.92232,22799.8,10943904.0,0,0.5,0.5,0.330435103499403,0.024844546823004,-0.0050661370631761
KOR,2005-01-01,311097100.0,201889200.0,113464300.0,4530140075.83849,22789.3,10938864.0,0,0.5,0.5,0.334690035949974,0.0245013964309967,-0.0195899534854972
KOR,2005-04-01,316930100.0,206176100.0,116867900.0,4575652274.70091,22778.4,10933632.0,0,0.5,0.5,0.348507202493612,0.0220659332448179,0.207879752377269
