code,quarter,status,informal_rate
BIH,2022-Q2,TOTAL,19.8
BIH,2022-Q3,EES,4.387
BIH,2022-Q3,SLF,70.247
BIH,2022-Q3,TOTAL,19.704
BIH,2022-Q4,EES,4.009
BIH,2022-Q4,SLF,66.454
BIH,2022-Q4,TOTAL,17.834
BIH,2023-Q1,EES,3.381
BIH,2023-Q1,SLF,69.619
BIH,2023-Q1,TOTAL,17.67
BIH,2023-Q2,EES,3.721
BIH,2023-Q2,SLF,71.933
BIH,2023-Q2,TOTAL,20.094
BIH,2023-Q3,EES,3.888
BIH,2023-Q3,SLF,69.01
BIH,2023-Q3,TOTAL,19.546
BIH,2023-Q4,EES,3.708
BIH,2023-Q4,SLF,65.409
BIH,2023-Q4,TOTAL,16.756
BIH,2024-Q1,EES,3.068
BIH,2024-Q1,SLF,64.847
BIH,2024-Q1,TOTAL,15.404
BIH,2024-Q2,EES,3.291
BIH,2024-Q2,SLF,69.304
BIH,2024-Q2,TOTAL,18.276
BIH,2024-Q3,EES,3.492
BIH,2024-Q3,SLF,69.215
BIH,2024-Q3,TOTAL,18.312
BIH,2024-Q4,EES,3.568
BIH,2024-Q4,SLF,60.013
BIH,2024-Q4,TOTAL,14.155
BIH,2025-Q1,EES,3.078
BIH,2025-Q1,SLF,58.43
BIH,2025-Q1,TOTAL,13.177
BIH,2025-Q2,EES,2.7
BIH,2025-Q2,SLF,66.271
BIH,2025-Q2,TOTAL,15.632
BIH,2025-Q3,EES,3.293
BIH,2025-Q3,SLF,63.746
BIH,2025-Q3,TOTAL,15.708
BOL,2015-Q4,EES,56.46
BOL,2015-Q4,SLF,82.814
BOL,2015-Q4,TOTAL,74.855
BOL,2016-Q1,EES,53.804
BOL,2016-Q1,SLF,81.263
BOL,2016-Q1,TOTAL,73.257
BOL,2016-Q2,EES,54.784
BOL,2016-Q2,SLF,83.628
BOL,2016-Q2,TOTAL,75.046
BOL,2016-Q3,EES,57.025
BOL,2016-Q3,SLF,85.939
BOL,2016-Q3,TOTAL,77.298
BOL,2016-Q4,EES,60.074
BOL,2016-Q4,SLF,87.955
BOL,2016-Q4,TOTAL,79.24
BOL,2017-Q1,EES,58.891
BOL,2017-Q1,SLF,87.822
BOL,2017-Q1,TOTAL,78.883
BOL,2017-Q2,EES,59.556
BOL,2017-Q2,SLF,87.458
BOL,2017-Q2,TOTAL,78.692
BOL,2017-Q3,EES,59.286
BOL,2017-Q3,SLF,87.704
BOL,2017-Q3,TOTAL,79.003
BOL,2017-Q4,EES,61.207
BOL,2017-Q4,SLF,88.08
BOL,2017-Q4,TOTAL,79.848
BOL,2018-Q1,EES,55.99
BOL,2018-Q1,SLF,88.948
BOL,2018-Q1,TOTAL,79.889
BOL,2018-Q2,EES,62.529
BOL,2018-Q2,SLF,89.848
BOL,2018-Q2,TOTAL,81.175
BOL,2018-Q3,EES,60.97
BOL,2018-Q3,SLF,89.987
BOL,2018-Q3,TOTAL,80.381
BOL,2018-Q4,EES,60.61
BOL,2018-Q4,SLF,90.946
BOL,2018-Q4,TOTAL,81.311
BOL,2019-Q1,EES,62.52
BOL,2019-Q1,SLF,89.579
BOL,2019-Q1,TOTAL,80.597
BOL,2019-Q2,EES,63.749
BOL,2019-Q2,SLF,90.247
BOL,2019-Q2,TOTAL,81.229
BOL,2019-Q3,EES,65.12
BOL,2019-Q3,SLF,90.5
BOL,2019-Q3,TOTAL,81.93
BOL,2019-Q4,EES,64.533
BOL,2019-Q4,SLF,90.689
BOL,2019-Q4,TOTAL,82.186
BOL,2020-Q1,EES,63.774
BOL,2020-Q1,SLF,91.119
BOL,2020-Q1,TOTAL,82.744
BOL,2022-Q1,EES,59.708
BOL,2022-Q1,SLF,96.092
BOL,2022-Q1,TOTAL,84.817
BOL,2022-Q2,EES,59.258
BOL,2022-Q2,SLF,95.674
BOL,2022-Q2,TOTAL,84.173
BOL,2022-Q3,EES,59.468
BOL,2022-Q3,SLF,95.827
BOL,2022-Q3,TOTAL,84.055
BOL,2022-Q4,EES,59.641
BOL,2022-Q4,SLF,96.127
BOL,2022-Q4,TOTAL,84.233
BOL,2023-Q1,EES,58.946
BOL,2023-Q1,SLF,96.137
BOL,2023-Q1,TOTAL,84.244
BOL,2023-Q2,EES,58.982
BOL,2023-Q2,SLF,96.544
BOL,2023-Q2,TOTAL,84.2
BOL,2023-Q3,EES,58.342
BOL,2023-Q3,SLF,96.492
BOL,2023-Q3,TOTAL,83.675
BOL,2023-Q4,EES,59.169
BOL,2023-Q4,SLF,95.812
BOL,2023-Q4,TOTAL,83.425
BOL,2024-Q1,EES,60.933
BOL,2024-Q1,SLF,95.609
BOL,2024-Q1,TOTAL,84.037
BOL,2024-Q2,EES,59.751
BOL,2024-Q2,SLF,95.236
BOL,2024-Q2,TOTAL,83.335
BOL,2024-Q3,EES,58.748
BOL,2024-Q3,SLF,95.489
BOL,2024-Q3,TOTAL,83.217
BOL,2024-Q4,EES,61.327
BOL,2024-Q4,SLF,96.842
BOL,2024-Q4,TOTAL,84.897
BOL,2025-Q1,EES,64.057
BOL,2025-Q1,SLF,96.946
BOL,2025-Q1,TOTAL,85.715
BOL,2025-Q2,EES,62.659
BOL,2025-Q2,SLF,97.019
BOL,2025-Q2,TOTAL,85.284
BOL,2025-Q3,EES,63.998
BOL,2025-Q3,SLF,96.773
BOL,2025-Q3,TOTAL,85.814
BOL,2025-Q4,EES,64.062
BOL,2025-Q4,SLF,97.402
BOL,2025-Q4,TOTAL,86.527
BRA,2015-Q4,EES,20.039
BRA,2015-Q4,SLF,73.643
BRA,2015-Q4,TOTAL,36.596
BRA,2016-Q1,EES,19.945
BRA,2016-Q1,SLF,73.258
BRA,2016-Q1,TOTAL,36.658
BRA,2016-Q2,EES,20.548
BRA,2016-Q2,SLF,73.698
BRA,2016-Q2,TOTAL,37.005
BRA,2016-Q3,EES,20.807
BRA,2016-Q3,SLF,73.149
BRA,2016-Q3,TOTAL,36.765
BRA,2016-Q4,EES,21.035
BRA,2016-Q4,SLF,73.594
BRA,2016-Q4,TOTAL,37.217
BRA,2017-Q1,EES,20.981
BRA,2017-Q1,SLF,73.605
BRA,2017-Q1,TOTAL,37.471
BRA,2017-Q2,EES,21.767
BRA,2017-Q2,SLF,73.885
BRA,2017-Q2,TOTAL,38.118
BRA,2017-Q3,EES,22.096
BRA,2017-Q3,SLF,73.987
BRA,2017-Q3,TOTAL,38.49
BRA,2017-Q4,EES,22.675
BRA,2017-Q4,SLF,73.086
BRA,2017-Q4,TOTAL,38.674
BRA,2018-Q1,EES,22.074
BRA,2018-Q1,SLF,73.394
BRA,2018-Q1,TOTAL,38.462
BRA,2018-Q2,EES,22.457
BRA,2018-Q2,SLF,73.169
BRA,2018-Q2,TOTAL,38.544
BRA,2018-Q3,EES,22.987
BRA,2018-Q3,SLF,73.012
BRA,2018-Q3,TOTAL,38.902
BRA,2018-Q4,EES,22.848
BRA,2018-Q4,SLF,72.663
BRA,2018-Q4,TOTAL,38.847
BRA,2019-Q1,EES,22.269
BRA,2019-Q1,SLF,72.396
BRA,2019-Q1,TOTAL,38.469
BRA,2019-Q2,EES,22.976
BRA,2019-Q2,SLF,73.058
BRA,2019-Q2,TOTAL,39.091
BRA,2019-Q3,EES,23.454
BRA,2019-Q3,SLF,72.344
BRA,2019-Q3,TOTAL,39.219
BRA,2019-Q4,EES,23.312
BRA,2019-Q4,SLF,71.727
BRA,2019-Q4,TOTAL,38.866
BRA,2020-Q1,EES,22.482
BRA,2020-Q1,SLF,70.207
BRA,2020-Q1,TOTAL,37.9
BRA,2020-Q2,EES,19.334
BRA,2020-Q2,SLF,68.354
BRA,2020-Q2,TOTAL,35.102
BRA,2020-Q3,EES,20.355
BRA,2020-Q3,SLF,69.782
BRA,2020-Q3,TOTAL,36.482
BRA,2020-Q4,EES,21.392
BRA,2020-Q4,SLF,69.656
BRA,2020-Q4,TOTAL,37.287
BRA,2021-Q1,EES,20.874
BRA,2021-Q1,SLF,69.645
BRA,2021-Q1,TOTAL,37.213
BRA,2021-Q2,EES,21.574
BRA,2021-Q2,SLF,70.868
BRA,2021-Q2,TOTAL,38.281
BRA,2021-Q3,EES,22.751
BRA,2021-Q3,SLF,70.229
BRA,2021-Q3,TOTAL,38.698
BRA,2021-Q4,EES,23.454
BRA,2021-Q4,SLF,69.892
BRA,2021-Q4,TOTAL,38.831
BRA,2022-Q1,EES,22.997
BRA,2022-Q1,SLF,69.478
BRA,2022-Q1,TOTAL,38.255
BRA,2022-Q2,EES,23.387
BRA,2022-Q2,SLF,68.844
BRA,2022-Q2,TOTAL,38.051
BRA,2022-Q3,EES,23.364
BRA,2022-Q3,SLF,67.759
BRA,2022-Q3,TOTAL,37.553
BRA,2022-Q4,EES,22.892
BRA,2022-Q4,SLF,66.99
BRA,2022-Q4,TOTAL,36.779
BRA,2023-Q1,EES,22.495
BRA,2023-Q1,SLF,68.347
BRA,2023-Q1,TOTAL,36.942
BRA,2023-Q2,EES,22.778
BRA,2023-Q2,SLF,68.662
BRA,2023-Q2,TOTAL,37.127
BRA,2023-Q3,EES,22.949
BRA,2023-Q3,SLF,68.557
BRA,2023-Q3,TOTAL,37.188
BRA,2023-Q4,EES,22.845
BRA,2023-Q4,SLF,68.446
BRA,2023-Q4,TOTAL,36.935
BRA,2024-Q1,EES,22.417
BRA,2024-Q1,SLF,68.291
BRA,2024-Q1,TOTAL,36.561
BRA,2024-Q2,EES,22.672
BRA,2024-Q2,SLF,67.775
BRA,2024-Q2,TOTAL,36.468
BRA,2024-Q3,EES,23.121
BRA,2024-Q3,SLF,67.982
BRA,2024-Q3,TOTAL,36.633
BRA,2024-Q4,EES,22.767
BRA,2024-Q4,SLF,67.321
BRA,2024-Q4,TOTAL,36.356
BRA,2025-Q1,EES,21.674
BRA,2025-Q1,SLF,67.177
BRA,2025-Q1,TOTAL,35.616
BRA,2025-Q2,EES,22.293
BRA,2025-Q2,SLF,66.863
BRA,2025-Q2,TOTAL,35.888
BRA,2025-Q3,EES,21.771
BRA,2025-Q3,SLF,67.209
BRA,2025-Q3,TOTAL,35.671
BRA,2025-Q4,EES,21.554
BRA,2025-Q4,SLF,66.544
BRA,2025-Q4,TOTAL,35.287
BRA,2026-Q1,EES,21.085
BRA,2026-Q1,SLF,65.73
BRA,2026-Q1,TOTAL,34.83
BWA,2019-Q3,EES,64.163
BWA,2019-Q3,SLF,83.919
BWA,2019-Q3,TOTAL,71.098
BWA,2019-Q4,EES,64.909
BWA,2019-Q4,SLF,81.245
