date,epu
2002-11-01,178.856933013216
2002-12-01,168.95693389586367
2003-01-01,369.95697464365486
2003-02-01,364.07626787597593
2003-03-01,428.7254570374136
2003-04-01,234.80729510807686
2003-05-01,139.31793964137574
2003-06-01,89.6962725668734
2003-07-01,112.15218633498516
2003-08-01,113.35599137167023
2003-09-01,101.91693677960052
2003-10-01,80.29391427457703
2003-11-01,158.12443189904488
2003-12-01,235.26996647095874
2004-01-01,130.3476793198754
2004-02-01,86.73388296919086
2004-03-01,86.3682595231881
2004-04-01,80.957883404451
2004-05-01,131.65877402139967
2004-06-01,57.19775307877466
2004-07-01,96.35328111282581
2004-08-01,64.069020380675
2004-09-01,43.78815353595256
2004-10-01,110.62260684658472
2004-11-01,122.51591459955095
2004-12-01,114.96237559509576
2005-01-01,109.54149827616546
2005-02-01,61.47756668577529
2005-03-01,46.86774260398718
2005-04-01,165.1391041167802
2005-05-01,87.64536664308235
2005-06-01,54.37202578510644
2005-07-01,86.16555724691237
2005-08-01,74.61248056358284
2005-09-01,64.4626495052826
2005-10-01,101.8532585534426
2005-11-01,52.53546092973388
2005-12-01,64.66318541124795
2006-01-01,70.89008636615692
2006-02-01,31.33762760547567
2006-03-01,72.82233934229902
2006-04-01,62.484234829270804
2006-05-01,75.97655326046673
2006-06-01,107.51695852642031
2006-07-01,85.03845058538356
2006-08-01,73.08830450939635
2006-09-01,35.39987576241268
2006-10-01,39.09672042813951
2006-11-01,51.20937571782528
2006-12-01,34.39215019135284
2007-01-01,36.19042311355906
2007-02-01,40.19172422600977
2007-03-01,32.91698237051057
2007-04-01,8.508974751185457
2007-05-01,85.216930429287
2007-06-01,89.33470867363454
2007-07-01,44.025523284867305
2007-08-01,93.70981698507248
2007-09-01,69.62111657377761
2007-10-01,66.78520081017018
2007-11-01,67.22287371981137
2007-12-01,90.0562958347878
2008-01-01,107.64438312693937
2008-02-01,49.85234542416611
2008-03-01,49.7280218161537
2008-04-01,63.56647756686399
2008-05-01,51.381887848769715
2008-06-01,71.72769485999999
2008-07-01,63.077580849714195
2008-08-01,65.43401456023211
2008-09-01,86.68493040529418
2008-10-01,149.631753522375
2008-11-01,112.3501158401983
2008-12-01,105.6292262194961
2009-01-01,126.5903406144318
2009-02-01,185.57082926662
2009-03-01,95.41922196179519
2009-04-01,63.58184541284173
2009-05-01,57.851179257031205
2009-06-01,58.05732565448347
2009-07-01,35.303709433493445
2009-08-01,41.52625984300474
2009-09-01,77.92684882834017
2009-10-01,85.38106902102265
2009-11-01,60.357112821362115
2009-12-01,57.138561792592554
2010-01-01,102.5767700103908
2010-02-01,42.24798455550243
2010-03-01,41.271404346439496
2010-04-01,86.82881805670402
2010-05-01,115.21094448157679
2010-06-01,45.00507585183824
2010-07-01,81.62571676228026
2010-08-01,62.42527048864155
2010-09-01,59.98311277674519
2010-10-01,107.32536351539812
2010-11-01,54.69549462075398
2010-12-01,44.01326802011588
2011-01-01,58.655428484643416
2011-02-01,50.25858381740637
2011-03-01,64.54344606879978
2011-04-01,48.892855828391056
2011-05-01,37.71227489867631
2011-06-01,69.66203907291842
