serie,edicion,periodo,valor
B1GQ_Q,199909,1999-Q1,1460765000000
B1GQ_Q,199910,1993-Q1,1250399000000
B1GQ_Q,199910,1993-Q2,1246895000000
B1GQ_Q,199910,1993-Q3,1261667000000
B1GQ_Q,199910,1993-Q4,1265846000000
B1GQ_Q,199910,1994-Q1,1286243000000
B1GQ_Q,199910,1994-Q2,1311989000000
B1GQ_Q,199910,1994-Q3,1319654000000
B1GQ_Q,199910,1994-Q4,1330361000000
B1GQ_Q,199910,1995-Q1,1268600000000
B1GQ_Q,199910,1995-Q2,1203642000000
B1GQ_Q,199910,1995-Q3,1213547000000
B1GQ_Q,199910,1995-Q4,1235509000000
B1GQ_Q,199910,1996-Q1,1268753000000
B1GQ_Q,199910,1996-Q2,1283483000000
B1GQ_Q,199910,1996-Q3,1299456000000
B1GQ_Q,199910,1996-Q4,1322705000000
B1GQ_Q,199910,1997-Q1,1348388000000
B1GQ_Q,199910,1997-Q2,1369521000000
B1GQ_Q,199910,1997-Q3,1395563000000
B1GQ_Q,199910,1997-Q4,1410675000000
B1GQ_Q,199910,1998-Q1,1427768000000
B1GQ_Q,199910,1998-Q2,1452883000000
B1GQ_Q,199910,1998-Q3,1463856000000
B1GQ_Q,199910,1998-Q4,1447765000000
B1GQ_Q,199910,1999-Q1,1460765000000
B1GQ_Q,199911,1993-Q1,1250399000000
B1GQ_Q,199911,1993-Q2,1246895000000
B1GQ_Q,199911,1993-Q3,1261667000000
B1GQ_Q,199911,1993-Q4,1265846000000
B1GQ_Q,199911,1994-Q1,1286243000000
B1GQ_Q,199911,1994-Q2,1311989000000
B1GQ_Q,199911,1994-Q3,1319654000000
B1GQ_Q,199911,1994-Q4,1330361000000
B1GQ_Q,199911,1995-Q1,1268600000000
B1GQ_Q,199911,1995-Q2,1203642000000
B1GQ_Q,199911,1995-Q3,1213547000000
B1GQ_Q,199911,1995-Q4,1235509000000
B1GQ_Q,199911,1996-Q1,1268753000000
B1GQ_Q,199911,1996-Q2,1283483000000
B1GQ_Q,199911,1996-Q3,1299456000000
B1GQ_Q,199911,1996-Q4,1322705000000
B1GQ_Q,199911,1997-Q1,1348388000000
B1GQ_Q,199911,1997-Q2,1369521000000
B1GQ_Q,199911,1997-Q3,1395563000000
B1GQ_Q,199911,1997-Q4,1410675000000
B1GQ_Q,199911,1998-Q1,1427768000000
B1GQ_Q,199911,1998-Q2,1452883000000
B1GQ_Q,199911,1998-Q3,1463856000000
B1GQ_Q,199911,1998-Q4,1447765000000
B1GQ_Q,199911,1999-Q1,1460765000000
B1GQ_Q,199911,1999-Q2,1493294000000
B1GQ_Q,199912,1993-Q1,1250399000000
B1GQ_Q,199912,1993-Q2,1246895000000
B1GQ_Q,199912,1993-Q3,1261667000000
B1GQ_Q,199912,1993-Q4,1265846000000
B1GQ_Q,199912,1994-Q1,1286243000000
B1GQ_Q,199912,1994-Q2,1311989000000
B1GQ_Q,199912,1994-Q3,1319654000000
B1GQ_Q,199912,1994-Q4,1330361000000
B1GQ_Q,199912,1995-Q1,1268600000000
B1GQ_Q,199912,1995-Q2,1203642000000
B1GQ_Q,199912,1995-Q3,1213547000000
B1GQ_Q,199912,1995-Q4,1235509000000
B1GQ_Q,199912,1996-Q1,1268753000000
B1GQ_Q,199912,1996-Q2,1283483000000
B1GQ_Q,199912,1996-Q3,1299456000000
B1GQ_Q,199912,1996-Q4,1322705000000
B1GQ_Q,199912,1997-Q1,1348388000000
B1GQ_Q,199912,1997-Q2,1369521000000
B1GQ_Q,199912,1997-Q3,1395563000000
B1GQ_Q,199912,1997-Q4,1410675000000
B1GQ_Q,199912,1998-Q1,1427768000000
B1GQ_Q,199912,1998-Q2,1452883000000
B1GQ_Q,199912,1998-Q3,1463856000000
B1GQ_Q,199912,1998-Q4,1447765000000
B1GQ_Q,199912,1999-Q1,1460765000000
B1GQ_Q,199912,1999-Q2,1493294000000
B1GQ_Q,200001,1993-Q1,1250399000000
B1GQ_Q,200001,1993-Q2,1246895000000
B1GQ_Q,200001,1993-Q3,1261667000000
B1GQ_Q,200001,1993-Q4,1265846000000
B1GQ_Q,200001,1994-Q1,1286243000000
B1GQ_Q,200001,1994-Q2,1311989000000
B1GQ_Q,200001,1994-Q3,1319654000000
B1GQ_Q,200001,1994-Q4,1330361000000
B1GQ_Q,200001,1995-Q1,1268600000000
B1GQ_Q,200001,1995-Q2,1203642000000
B1GQ_Q,200001,1995-Q3,1213547000000
B1GQ_Q,200001,1995-Q4,1235509000000
B1GQ_Q,200001,1996-Q1,1268753000000
B1GQ_Q,200001,1996-Q2,1283483000000
B1GQ_Q,200001,1996-Q3,1299456000000
B1GQ_Q,200001,1996-Q4,1322705000000
B1GQ_Q,200001,1997-Q1,1348388000000
B1GQ_Q,200001,1997-Q2,1369521000000
B1GQ_Q,200001,1997-Q3,1395563000000
B1GQ_Q,200001,1997-Q4,1410675000000
B1GQ_Q,200001,1998-Q1,1427768000000
B1GQ_Q,200001,1998-Q2,1452883000000
B1GQ_Q,200001,1998-Q3,1463856000000
B1GQ_Q,200001,1998-Q4,1447765000000
B1GQ_Q,200001,1999-Q1,1460765000000
B1GQ_Q,200001,1999-Q2,1493294000000
B1GQ_Q,200001,1999-Q3,1529856000000
B1GQ_Q,200002,1993-Q1,1250399000000
B1GQ_Q,200002,1993-Q2,1246895000000
B1GQ_Q,200002,1993-Q3,1261667000000
B1GQ_Q,200002,1993-Q4,1265846000000
B1GQ_Q,200002,1994-Q1,1286243000000
B1GQ_Q,200002,1994-Q2,1311989000000
B1GQ_Q,200002,1994-Q3,1319654000000
B1GQ_Q,200002,1994-Q4,1330361000000
B1GQ_Q,200002,1995-Q1,1268600000000
B1GQ_Q,200002,1995-Q2,1203642000000
B1GQ_Q,200002,1995-Q3,1213547000000
B1GQ_Q,200002,1995-Q4,1235509000000
B1GQ_Q,200002,1996-Q1,1268753000000
B1GQ_Q,200002,1996-Q2,1283483000000
B1GQ_Q,200002,1996-Q3,1299456000000
B1GQ_Q,200002,1996-Q4,1322705000000
B1GQ_Q,200002,1997-Q1,1348388000000
B1GQ_Q,200002,1997-Q2,1369521000000
B1GQ_Q,200002,1997-Q3,1395563000000
B1GQ_Q,200002,1997-Q4,1410675000000
B1GQ_Q,200002,1998-Q1,1427768000000
B1GQ_Q,200002,1998-Q2,1452883000000
B1GQ_Q,200002,1998-Q3,1463856000000
B1GQ_Q,200002,1998-Q4,1447765000000
B1GQ_Q,200002,1999-Q1,1460765000000
B1GQ_Q,200002,1999-Q2,1493294000000
B1GQ_Q,200002,1999-Q3,1529856000000
B1GQ_Q,200003,1993-Q1,1250399000000
B1GQ_Q,200003,1993-Q2,1246895000000
B1GQ_Q,200003,1993-Q3,1261667000000
B1GQ_Q,200003,1993-Q4,1265846000000
B1GQ_Q,200003,1994-Q1,1286243000000
B1GQ_Q,200003,1994-Q2,1311989000000
B1GQ_Q,200003,1994-Q3,1319654000000
B1GQ_Q,200003,1994-Q4,1330361000000
B1GQ_Q,200003,1995-Q1,1268600000000
B1GQ_Q,200003,1995-Q2,1203642000000
B1GQ_Q,200003,1995-Q3,1213547000000
B1GQ_Q,200003,1995-Q4,1235509000000
B1GQ_Q,200003,1996-Q1,1268753000000
B1GQ_Q,200003,1996-Q2,1283483000000
B1GQ_Q,200003,1996-Q3,1299456000000
B1GQ_Q,200003,1996-Q4,1322705000000
B1GQ_Q,200003,1997-Q1,1348388000000
B1GQ_Q,200003,1997-Q2,1369521000000
B1GQ_Q,200003,1997-Q3,1395563000000
