code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,inv_equip,inv_struct,inv_dwell,inv_ipp,cons_dur,cons_semidur,cons_nondur,cons_serv,gdp_output,va_total,va_agri,va_ind,va_mfg,va_constr,va_trade,va_ict,va_fin,va_realest,va_prof,va_public,va_other,va_services,taxes_prod,chainlink_disc,gdp_income,comp_emp,surplus_mixed,taxes_prod_imp_net,taxes_prod_imp,subsidies,emp,emp_employees,emp_selfemp,hours,hours_employees,hours_selfemp,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,inv_equip_defl,inv_struct_defl,inv_dwell_defl,inv_ipp_defl,cons_dur_defl,cons_semidur_defl,cons_nondur_defl,cons_serv_defl,gdp_output_defl,va_total_defl,va_agri_defl,va_ind_defl,va_mfg_defl,va_constr_defl,va_trade_defl,va_ict_defl,va_fin_defl,va_realest_defl,va_prof_defl,va_public_defl,va_other_defl,va_services_defl,taxes_prod_defl,chainlink_disc_defl
LTU,2017-04-01,10463.7,6426.7,1714.7,2081.3,2061.5,7736.7,7476.0,745.4,769.0,314.7,234.3,558.3,696.0,3158.7,2007.5,10463.7,9389.6,361.8,2044.0,1739.3,616.6,2982.8,349.9,193.5,638.3,652.4,1335.6,214.7,6367.1,1074.1,0.0,10463.7,4629.5,4790.6,1043.5,1224.7,181.2,1365.2,1196.5,168.8,645.4,563.3,82.1,86.76008457360807,90.23982701002555,68.54687187687388,88.08244106817894,77.85708890399576,93.67145313218879,88.88783202149668,98.36368434943257,85.6729055258467,84.43788569895358,79.58559782608697,100.16146393972012,97.47899159663865,90.05302771125557,78.68537608278132,86.76008457360807,87.39714806954838,79.65653896961692,93.32481051958726,95.0644949715785,86.0332077577787,95.81138378517282,92.6887417218543,65.4158215010142,90.2063312605992,90.5859483476812,68.45720143516145,78.64468864468864,86.0814428250818,81.56276102969092,
LTU,2017-07-01,10660.1,6466.8,1745.3,2146.3,2194.2,7720.1,7466.3,771.1,803.2,303.6,250.5,545.7,704.3,3174.1,2040.7,10660.1,9519.8,398.9,2127.4,1803.5,638.1,2930.1,349.7,201.1,638.9,665.0,1346.2,224.4,6355.4,1140.3,0.0,10660.1,4667.6,4865.8,1126.6,1305.1,178.5,1352.3,1192.7,159.6,634.9,553.5,81.4,87.64223230728756,90.32726663221264,69.9322835276676,88.75242939254849,79.7513902518809,94.44471630251279,90.77899497854024,99.48393755644433,85.129835718071,85.37682789651294,81.12046632124353,97.44642857142858,98.21503277088271,90.52562530302598,80.3741630563214,87.64223230728756,87.86074886249318,87.24846894138233,95.27093596059113,96.74910144305564,86.58073270013568,93.50885591191958,92.2204641350211,67.50587445451494,89.90993526597242,92.19464855122696,68.78193337420805,80.77753779697623,85.46799354491662,85.85949853173707,
LTU,2017-10-01,10867.5,6598.0,1744.3,2242.9,2162.3,8156.9,7794.1,798.2,863.6,301.6,261.6,557.8,738.4,3204.0,2063.2,10867.5,9755.2,393.9,2152.1,1824.5,675.5,3024.2,362.0,208.1,653.6,692.6,1369.4,223.7,6533.8,1112.4,0.0,10867.5,4825.8,4987.9,1053.7,1228.9,175.1,1366.6,1205.9,160.7,634.4,554.8,79.7,88.04371602407784,91.20061924639924,69.91182364729458,90.27207598808661,79.28644763860372,95.87780337580516,92.47973991148447,99.27860696517413,86.64593157419483,84.22228427813461,81.44458281444584,98.39477862056799,97.76247848537005,91.46184807741714,81.46247088087812,88.04371602407784,88.71993088081489,88.7362018472629,95.99446897720684,97.17709720372837,88.85819521178637,94.68378209142142,95.16298633017877,69.32045303131247,92.82772333475359,95.18966465090709,69.8245971853967,82.51567687200294,87.07901856516466,82.53450066775487,
LTU,2018-01-01,11126.6,6710.5,1772.6,2268.4,2594.3,8170.0,8120.7,788.9,871.6,310.5,278.3,601.8,746.7,3207.2,2126.1,11126.6,9969.0,341.7,2156.3,1837.8,681.1,3131.3,373.6,218.5,694.8,707.6,1426.6,237.4,6789.9,1157.6,0.0,11126.6,4847.3,5176.7,1102.6,1310.5,207.9,1371.9,1207.5,164.4,643.8,560.2,83.6,88.99927211063918,92.01793598990757,70.81901717938474,89.58925750394944,89.82722204909804,95.33366783743101,92.86849719245681,98.41566866267465,87.23851466319688,84.60490463215258,82.04599056603774,99.47107438016528,98.12089356110381,91.5767232025584,81.25429947259803,88.99927211063918,89.51404353135551,81.92280028770078,94.62021150555093,95.74368325084657,88.06568399275925,95.8522101138729,95.3061224489796,72.0884196634774,92.17299018307244,94.1583499667332,72.57465533906496,86.17059891107078,88.37103365697479,84.79964837740825,
LTU,2018-04-01,11376.5,6809.3,1835.6,2347.2,2519.8,8427.3,8215.5,816.6,909.5,318.4,283.6,627.9,765.5,3301.4,2157.4,11376.5,10193.4,342.9,2183.5,1872.8,718.3,3256.3,369.2,225.8,699.5,733.3,1437.9,226.8,6948.7,1183.1,0.0,11376.5,5014.5,5215.6,1146.4,1341.5,195.0,1374.6,1215.1,159.5,650.0,568.0,82.0,89.57803481862348,92.47871141231275,73.31256490134994,89.8002907644043,86.77594875680144,96.15046721507865,93.67303657757914,97.6210400478183,87.56137479541735,86.2638851259821,82.80291970802921,99.03785488958991,97.80247859971891,92.96314025849688,82.58306538049303,89.57803481862348,90.10103152926203,84.06472174552587,95.47024616326352,96.76052699560837,89.55242488467772,97.63725225630417,90.95836412909584,73.16915100453662,92.84576586142819,92.15784843533994,73.22401588837398,82.74352426121852,88.83192922797643,85.31150850879722,
LTU,2018-07-01,11557.2,6888.7,1906.5,2419.5,2411.7,8791.7,8441.4,811.9,968.5,331.6,288.2,611.5,772.3,3261.9,2239.9,11557.2,10368.1,321.6,2227.5,1924.4,741.7,3289.8,380.1,236.6,717.2,731.4,1492.3,229.8,7077.3,1189.1,0.0,11557.2,5202.1,5204.6,1150.5,1338.0,187.5,1395.4,1236.2,159.2,655.6,579.3,76.3,90.86706293046514,92.58134315319795,76.05616946583157,90.11508808521732,82.24601848378404,99.57188968797782,96.8639195841509,98.5794074793589,89.61784028870176,86.6475045727724,84.04782735491398,96.54246921376698,98.16956908605567,92.84697711488103,83.9322516581107,90.86706293046514,91.51015004413063,82.04081632653062,98.15802229762481,99.86507524649714,90.53955078125,97.2220580412554,92.05618793896828,75.7847533632287,95.62666666666667,91.84980534974257,76.04463921728495,82.93035005413208,89.75991477164635,85.62067972350229,
LTU,2018-10-01,11894.0,6975.1,1926.2,2477.3,2743.2,8911.9,8662.4,822.2,997.9,336.4,301.7,609.0,774.2,3308.7,2254.9,11894.0,10666.6,321.5,2306.0,1955.3,742.5,3410.9,399.3,245.3,724.0,752.0,1523.9,241.2,7296.7,1227.3,0.0,11894.0,5315.5,5397.1,1181.4,1386.7,205.3,1390.7,1227.0,163.7,656.9,577.0,79.9,91.80515140054185,92.98521589591137,76.9618027808854,93.39491046182847,89.6002090410243,99.01010998777913,96.13672937128905,97.15231005553586,90.05504918328671,88.4797475013151,85.56437889960294,96.78957406230133,97.42041021769221,93.41596318360202,85.01677789088716,91.80515140054185,92.42353348929902,81.20737559989897,99.4823123382226,99.40518556176919,89.78234582829504,98.91827620207646,94.75557664926436,77.79892166190929,96.19984055275046,93.0117501546073,77.85725233740357,86.01997146932953,91.41328723017752,86.75337527390965,
LTU,2019-01-01,11955.4,7050.6,2045.9,2546.5,2351.8,9291.6,8784.5,828.5,1028.7,364.6,311.4,628.8,792.5,3294.7,2269.6,11955.4,10670.5,356.2,2288.1,1951.4,787.1,3282.5,396.3,252.8,700.1,758.4,1599.7,249.4,7239.1,1284.9,0.0,11955.4,5317.1,5419.6,1218.8,1436.5,217.8,1394.3,1232.8,161.5,660.5,576.8,83.7,91.2055049510993,93.29398999655967,81.50021909731905,94.05702888379996,79.25990833108656,98.0136921275541,95.51899615075136,99.78321088763099,91.34256792754395,92.46766421506467,87.69360743452548,97.71561771561771,96.91818515347927,92.89218450434194,86.15571499069961,91.2055049510993,91.38205672787066,84.4876660341556,97.24181895452614,98.20341200744805,92.20946579194002,94.65109573241061,91.31336405529954,79.82317650773604,93.9983888292159,93.3645204973532,80.99336742443421,89.42273216206526,90.21135009844727,89.77153636554183,
LTU,2019-04-01,12298.6,7209.9,2059.8,2644.0,2503.9,9542.5,9017.4,844.7,1091.7,372.0,322.5,645.0,813.2,3384.8,2399.5,12298.6,11028.1,374.0,2298.7,1974.3,807.5,3439.7,434.0,260.8,715.2,803.6,1643.9,250.8,7547.9,1270.6,0.0,12298.6,5597.2,5460.0,1241.5,1445.7,204.2,1392.3,1226.6,165.7,665.5,582.6,83.0,92.3512450064578,94.21134471899542,82.20785440613028,92.81752439794987,83.30228225430834,98.4849266716894,94.7375056470168,97.24844577481004,92.53263264960164,90.975788701394,88.94098179812465,97.66807995154453,97.15651135005973,95.40022547914317,87.29581256594027,92.3512450064578,92.96215122650257,87.13886300093196,96.20004184975936,97.79572022983952,92.47595052679797,96.81659536140508,94.90487644872076,82.1935077213993,95.00531349628056,92.95546558704453,82.64541752551405,86.6620594333103,91.75885628145592,87.38051028127363,
LTU,2019-07-01,12348.3,7167.5,2086.8,2627.6,2409.0,9456.8,8771.9,829.2,1081.8,378.5,324.9,661.6,773.1,3357.0,2364.4,12348.3,11113.2,385.6,2290.5,1958.4,822.0,3454.1,440.5,274.6,729.2,815.5,1663.3,237.9,7615.1,1235.1,0.0,12348.3,5791.6,5347.8,1208.8,1436.0,227.1,1389.9,1226.5,163.4,649.3,571.0,78.4,92.65348079895554,94.43968640885434,83.84089995982323,92.86446368616363,81.39613461278552,96.82796469600474,92.55890515030968,94.39890710382514,92.74691358024691,91.93587563760019,90.325271059216,98.05839632429227,97.41683467741935,95.12879367508289,88.2205887840006,92.65348079895554,93.60691363016122,85.95630851538118,96.63333755220857,97.8563933443262,93.7179341010147,97.97197640117994,94.9353448275862,86.16253529965486,95.87168025243228,95.81717776994478,84.32018655581466,86.44622093023256,93.19096861041425,84.86909915481343,
