code,periodo,valor,variable,price_base
ARG,2020-Q1,164308.6,gdp_vol,Q
ARG,2020-Q2,140500.2,gdp_vol,Q
ARG,2020-Q3,155964.1,gdp_vol,Q
ARG,2020-Q4,163818.4,gdp_vol,Q
ARG,2021-Q1,169379.5,gdp_vol,Q
ARG,2021-Q2,169667.0,gdp_vol,Q
ARG,2021-Q3,173377.1,gdp_vol,Q
ARG,2021-Q4,177386.3,gdp_vol,Q
ARG,2022-Q1,181748.6,gdp_vol,Q
ARG,2022-Q2,185365.5,gdp_vol,Q
ARG,2022-Q3,183967.4,gdp_vol,Q
ARG,2022-Q4,180260.1,gdp_vol,Q
ARG,2023-Q1,182270.0,gdp_vol,Q
ARG,2023-Q2,177460.6,gdp_vol,Q
ARG,2023-Q3,181303.7,gdp_vol,Q
ARG,2023-Q4,176771.5,gdp_vol,Q
ARG,2024-Q1,173621.5,gdp_vol,Q
ARG,2024-Q2,172867.2,gdp_vol,Q
ARG,2024-Q3,179041.5,gdp_vol,Q
ARG,2024-Q4,182457.6,gdp_vol,Q
ARG,2025-Q1,183867.1,gdp_vol,Q
ARG,2025-Q2,184425.8,gdp_vol,Q
ARG,2025-Q3,184645.7,gdp_vol,Q
ARG,2025-Q4,186790.1,gdp_vol,Q
ARG,2026-Q1,188182.0,gdp_vol,Q
IDN,2000-Q1,627061835.4,conh_vol,Q
IDN,2000-Q2,638590166.8,conh_vol,Q
IDN,2000-Q3,637339229.6,conh_vol,Q
IDN,2000-Q4,643440117.3,conh_vol,Q
IDN,2001-Q1,648801720.9,conh_vol,Q
IDN,2001-Q2,655332051.1,conh_vol,Q
IDN,2001-Q3,662548295.5,conh_vol,Q
IDN,2001-Q4,668725062.5,conh_vol,Q
IDN,2002-Q1,675684500.2,conh_vol,Q
IDN,2002-Q2,681635322.1,conh_vol,Q
IDN,2002-Q3,686468286.9,conh_vol,Q
IDN,2002-Q4,692708504.3,conh_vol,Q
IDN,2003-Q1,698573787.3,conh_vol,Q
IDN,2003-Q2,705446067.2,conh_vol,Q
IDN,2003-Q3,712719244.4,conh_vol,Q
IDN,2003-Q4,726286409.4,conh_vol,Q
IDN,2004-Q1,737630503.0,conh_vol,Q
IDN,2004-Q2,742824012.4,conh_vol,Q
IDN,2004-Q3,748311787.3,conh_vol,Q
IDN,2004-Q4,755477055.1,conh_vol,Q
IDN,2005-Q1,763611575.8,conh_vol,Q
IDN,2005-Q2,771394960.2,conh_vol,Q
IDN,2005-Q3,780436992.6,conh_vol,Q
IDN,2005-Q4,786777880.2,conh_vol,Q
IDN,2006-Q1,787029553.9,conh_vol,Q
IDN,2006-Q2,795653746.7,conh_vol,Q
IDN,2006-Q3,803827059.8,conh_vol,Q
IDN,2006-Q4,814153640.5,conh_vol,Q
IDN,2007-Q1,823357924.2,conh_vol,Q
IDN,2007-Q2,834057199.3,conh_vol,Q
IDN,2007-Q3,845610326.3,conh_vol,Q
IDN,2007-Q4,857887505.8,conh_vol,Q
IDN,2008-Q1,869208006.0,conh_vol,Q
IDN,2008-Q2,880483897.8,conh_vol,Q
IDN,2008-Q3,889771759.5,conh_vol,Q
IDN,2008-Q4,900792656.2,conh_vol,Q
IDN,2009-Q1,912485762.7,conh_vol,Q
IDN,2009-Q2,921303714.4,conh_vol,Q
IDN,2009-Q3,931632949.7,conh_vol,Q
IDN,2009-Q4,941550207.7,conh_vol,Q
IDN,2010-Q1,951153544.8,conh_vol,Q
IDN,2010-Q2,962040949.6,conh_vol,Q
IDN,2010-Q3,965860559.3,conh_vol,Q
IDN,2010-Q4,979766718.1,conh_vol,Q
IDN,2011-Q1,992750203.2,conh_vol,Q
IDN,2011-Q2,1006631199.8,conh_vol,Q
IDN,2011-Q3,1020539755.1,conh_vol,Q
IDN,2011-Q4,1034157736.7,conh_vol,Q
IDN,2012-Q1,1047832101.0,conh_vol,Q
IDN,2012-Q2,1062466456.5,conh_vol,Q
IDN,2012-Q3,1076661800.7,conh_vol,Q
