code,date,e
AUT,2012-10-01,0.7705326244
AUT,2013-01-01,0.7578658730000001
AUT,2013-04-01,0.7656910043333333
AUT,2013-07-01,0.7549412729666667
AUT,2013-10-01,0.7346924829
AUT,2014-01-01,0.7296647467333334
AUT,2014-04-01,0.7292575036
AUT,2014-07-01,0.754988834
AUT,2014-10-01,0.8008694782666667
AUT,2015-01-01,0.8883128181999999
AUT,2015-04-01,0.9041201082333333
AUT,2015-07-01,0.8995253356666667
AUT,2015-10-01,0.9138483135666666
AUT,2016-01-01,0.9073307108666667
AUT,2016-04-01,0.8855690548
AUT,2016-07-01,0.8961600216666668
AUT,2016-10-01,0.9280663203333334
AUT,2017-01-01,0.9384762213333334
AUT,2017-04-01,0.9092752852333333
AUT,2017-07-01,0.8514329537666666
AUT,2017-10-01,0.8492442352
AUT,2018-01-01,0.8137506824666666
AUT,2018-04-01,0.8394843822999999
AUT,2018-07-01,0.8595732569333334
AUT,2018-10-01,0.8764896188666667
AUT,2019-01-01,0.8807720627999999
AUT,2019-04-01,0.8897470678333333
AUT,2019-07-01,0.8996656860666666
AUT,2019-10-01,0.9032086680333333
AUT,2020-01-01,0.9078426877333333
AUT,2020-04-01,0.908271645
AUT,2020-07-01,0.8551811459333334
AUT,2020-10-01,0.8388708030333333
AUT,2021-01-01,0.8296439075
AUT,2021-04-01,0.8296618398333333
AUT,2021-07-01,0.848374697
AUT,2021-10-01,0.8745331265999999
AUT,2022-01-01,0.8907364831
AUT,2022-04-01,0.9392376768
AUT,2022-07-01,0.993248951
AUT,2022-10-01,0.9803069841333333
AUT,2023-01-01,0.9321337562666666
AUT,2023-04-01,0.9185379611333334
AUT,2023-07-01,0.9193362111666668
AUT,2023-10-01,0.9293334415666666
AUT,2024-01-01,0.9213149068333334
AUT,2024-04-01,0.9289777437333333
AUT,2024-07-01,0.9099683138666667
AUT,2024-10-01,0.938207141
AUT,2025-01-01,0.9500645928333333
AUT,2025-04-01,0.8813586147
AUT,2025-07-01,0.8557902660333333
AUT,2025-10-01,0.8592611594333333
AUT,2026-01-01,0.8544349091000001
AUT,2026-04-01,0.8597848124030304
AUT,2026-07-01,0.875590869565217
BEL,1995-01-01,0.7566330109891201
BEL,1995-04-01,0.7120848919638704
BEL,1995-07-01,0.7298390262081297
BEL,1995-10-01,0.7263106750388574
BEL,1996-01-01,0.7483252726622194
BEL,1996-04-01,0.775881943187762
BEL,1996-07-01,0.7652621845864763
BEL,1996-10-01,0.7819768186501866
BEL,1997-01-01,0.8479925169207988
BEL,1997-04-01,0.876089595330347
BEL,1997-07-01,0.9238132304079417
BEL,1997-10-01,0.8978133312179754
BEL,1998-01-01,0.9304683452363541
BEL,1998-04-01,0.9176638183700669
BEL,1998-07-01,0.9006781540526045
BEL,1998-10-01,0.8503673368881265
BEL,1999-01-01,0.8908650354333334
BEL,1999-04-01,0.9462974242666666
BEL,1999-07-01,0.9535907950333332
BEL,1999-10-01,0.9634983377666666
BEL,2000-01-01,1.0128999099666667
BEL,2000-04-01,1.0707995252666667
BEL,2000-07-01,1.1065821814
BEL,2000-10-01,1.1501026639333334
BEL,2001-01-01,1.0838351025666668
BEL,2001-04-01,1.1444160384
BEL,2001-07-01,1.121785947
BEL,2001-10-01,1.1164872653666666
BEL,2002-01-01,1.1407329854666666
BEL,2002-04-01,1.0874121115
BEL,2002-07-01,1.0165822042666666
BEL,2002-10-01,0.9995332300666666
BEL,2003-01-01,0.9315119056
BEL,2003-04-01,0.8803657411666667
BEL,2003-07-01,0.8883700632666667
BEL,2003-10-01,0.8404051568666667
BEL,2004-01-01,0.7999041188000001
BEL,2004-04-01,0.8297059866000001
BEL,2004-07-01,0.8178773148333334
BEL,2004-10-01,0.7719609567000001
BEL,2005-01-01,0.7630914823666667
BEL,2005-04-01,0.7945898260333334
BEL,2005-07-01,0.8200075984333334
BEL,2005-10-01,0.8407887535
BEL,2006-01-01,0.8313259251333333
BEL,2006-04-01,0.7956177087666667
BEL,2006-07-01,0.7845937593333333
BEL,2006-10-01,0.7752514898
BEL,2007-01-01,0.7627094231
BEL,2007-04-01,0.7417964550999999
BEL,2007-07-01,0.7273385733333333
BEL,2007-10-01,0.6900972570333334
BEL,2008-01-01,0.6674643105000001
BEL,2008-04-01,0.6401810566666667
BEL,2008-07-01,0.6668847167333333
BEL,2008-10-01,0.7613992753666666
BEL,2009-01-01,0.7686045454666667
BEL,2009-04-01,0.7343098845666667
BEL,2009-07-01,0.6990935441666667
BEL,2009-10-01,0.6771937198
BEL,2010-01-01,0.7226642857
BEL,2010-04-01,0.7869761904666667
BEL,2010-07-01,0.7737878787666667
BEL,2010-10-01,0.7367457180666667
BEL,2011-01-01,0.7314082470666667
BEL,2011-04-01,0.6947835498
BEL,2011-07-01,0.7082332643
BEL,2011-10-01,0.7422099567
BEL,2012-01-01,0.7625375180333333
BEL,2012-04-01,0.7798164251333333
BEL,2012-07-01,0.7991382740333334
BEL,2012-10-01,0.7705326244
BEL,2013-01-01,0.7578658730000001
BEL,2013-04-01,0.7656910043333333
BEL,2013-07-01,0.7549412729666667
BEL,2013-10-01,0.7346924829
BEL,2014-01-01,0.7296647467333334
BEL,2014-04-01,0.7292575036
BEL,2014-07-01,0.754988834
BEL,2014-10-01,0.8008694782666667
BEL,2015-01-01,0.8883128181999999
BEL,2015-04-01,0.9041201082333333
BEL,2015-07-01,0.8995253356666667
BEL,2015-10-01,0.9138483135666666
BEL,2016-01-01,0.9073307108666667
BEL,2016-04-01,0.8855690548
BEL,2016-07-01,0.8961600216666668
BEL,2016-10-01,0.9280663203333334
BEL,2017-01-01,0.9384762213333334
BEL,2017-04-01,0.9092752852333333
BEL,2017-07-01,0.8514329537666666
BEL,2017-10-01,0.8492442352
BEL,2018-01-01,0.8137506824666666
BEL,2018-04-01,0.8394843822999999
BEL,2018-07-01,0.8595732569333334
BEL,2018-10-01,0.8764896188666667
BEL,2019-01-01,0.8807720627999999
BEL,2019-04-01,0.8897470678333333
BEL,2019-07-01,0.8996656860666666
BEL,2019-10-01,0.9032086680333333
BEL,2020-01-01,0.9078426877333333
BEL,2020-04-01,0.908271645
BEL,2020-07-01,0.8551811459333334
BEL,2020-10-01,0.8388708030333333
