code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,inv_equip,inv_struct,inv_dwell,inv_ipp,cons_dur,cons_semidur,cons_nondur,cons_serv,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,inv_equip_defl,inv_struct_defl,inv_dwell_defl,inv_ipp_defl,cons_dur_defl,cons_semidur_defl,cons_nondur_defl,cons_serv_defl
SVK,2026-04-01,35820.8,,,,,,,,,,,,,,,135.32245086076304,,,,,,,,,,,,,,
SVN,1995-01-01,2521.8,1424.8,451.5,591.8,651.8,1199.1,1200.6,239.9,191.4,85.6,57.3,162.1,156.1,561.9,589.2,,,,,,,,,,,,,,,
SVN,1995-04-01,2597.9,1519.2,466.2,593.4,668.8,1175.6,1259.6,250.1,195.2,85.5,58.8,204.8,161.8,577.7,622.3,,,,,,,,,,,,,,,
SVN,1995-07-01,2693.8,1625.3,478.7,605.4,639.7,1193.0,1232.0,253.3,198.0,90.3,60.4,233.4,164.8,604.3,658.6,,,,,,,,,,,,,,,
SVN,1995-10-01,2783.9,1673.8,491.9,651.4,694.6,1263.9,1339.1,274.6,212.7,95.1,62.8,230.2,156.5,636.9,683.8,,,,,,,,,,,,,,,
SVN,1996-01-01,2882.4,1736.7,505.2,667.9,660.8,1336.9,1366.1,268.6,224.4,102.8,64.1,237.1,169.0,652.1,719.7,49.94887968530681,49.91234372754706,42.184368737474955,52.22048475371384,52.81752058188794,60.38119326137031,59.146209464432616,75.13286713286715,38.662991040661616,41.152922337870294,47.41124260355029,84.83005366726297,63.20119670905011,42.71863740583033,47.31444349483927
SVN,1996-04-01,2984.4,1743.3,534.5,722.9,740.7,1403.2,1444.1,299.9,239.8,107.2,65.7,224.8,170.8,676.5,743.2,51.34363279771531,51.13666363556364,44.29068611203182,55.78793023614755,54.78550295857988,62.22616407982262,60.86571693500801,79.69705022588359,40.80313084907265,45.17488411293721,49.32432432432433,82.9826504245109,63.40014847809949,44.10039113428944,48.5022515173269
SVN,1996-07-01,3089.2,1774.5,552.5,754.6,800.8,1428.5,1457.5,302.5,262.0,111.9,68.1,227.6,180.2,688.4,764.7,52.46425053496824,51.31875759153218,45.23868009498076,57.21000758150114,57.648837376718745,62.535568883246505,60.729166666666664,82.2457857531267,43.17020926017466,46.470099667774086,51.08777194298573,83.15674095725247,64.72701149425288,44.63174273858921,49.325936915435726
SVN,1996-10-01,3190.6,1838.1,565.0,745.7,818.2,1460.8,1484.2,292.6,266.5,116.6,68.4,198.6,186.0,706.8,797.6,53.40810177435554,53.299889810357826,46.07731202087751,56.77630577128064,55.99124067611032,62.657630608218234,61.55951887183741,81.731843575419,43.609883816069384,47.65018389865141,52.13414634146343,83.30536912751678,66.05113636363636,45.26127049180328,50.95508848144126
SVN,1997-01-01,3286.2,1885.3,582.9,785.6,849.3,1494.8,1545.0,304.8,277.8,123.7,78.2,224.2,189.3,732.8,818.1,54.503839583367885,54.14261508859597,46.84185149469624,57.994980067916735,58.39922987004057,63.365832980076306,62.30843684465236,81.32337246531483,44.7992259313014,47.742184484754915,52.20293724966622,89.0035728463676,67.58300606926097,46.6128108898925,51.569591527987896
