code,date,gdp_output,va_total,va_agri,va_ind,va_mfg,va_constr,va_trade,va_ict,va_fin,va_realest,va_prof,va_public,va_other,va_services,taxes_prod,chainlink_disc,gdp_output_defl,va_total_defl,va_agri_defl,va_ind_defl,va_mfg_defl,va_constr_defl,va_trade_defl,va_ict_defl,va_fin_defl,va_realest_defl,va_prof_defl,va_public_defl,va_other_defl,va_services_defl,taxes_prod_defl,chainlink_disc_defl
HRV,2018-07-01,13181.6,10770.2,379.2,1995.5,1618.1,549.3,2601.3,510.1,630.3,962.5,872.2,1838.9,406.7,7822.0,2417.5,0.0,95.7825897398634,95.8970706081382,88.30926874708896,100.5492290637912,101.99823499747856,99.08008658008656,100.70068132548778,91.00802854594112,94.25751458052936,88.48947320033098,99.77121940059484,90.62638608249964,97.71744353676118,95.30307645446238,94.4963452292538,
HRV,2018-10-01,13205.3,10811.0,387.9,1994.5,1608.8,567.4,2619.5,504.0,629.1,973.9,877.1,1873.5,422.8,7899.9,2396.2,0.0,95.5735367557122,95.5795243568208,87.56207674943566,97.98575288626871,98.54823889739664,99.21314915194964,101.70840613473112,90.95831077422848,93.96564600448096,88.59274083507687,98.83930583727744,91.42592231114584,98.23420074349444,95.72619538084967,96.48479967787397,
HRV,2019-01-01,13493.0,11006.1,384.8,2030.2,1614.1,596.5,2582.0,516.3,635.6,1004.9,899.6,1867.3,441.5,7947.3,2497.9,0.0,95.74936133976723,95.44626751769113,88.43943920937716,97.27839003354096,98.10368929678478,99.4498166055352,100.13962147067949,92.26233023588276,92.51819505094616,89.22134422445176,99.6455471865308,90.47872855896888,97.11834579850418,95.20803133947504,98.34639159022008,
HRV,2019-04-01,13651.2,11101.0,402.0,2028.3,1601.6,607.1,2622.9,540.6,623.2,1017.4,916.1,1912.1,445.1,8077.4,2530.3,0.0,96.35506366639376,95.9505596611781,90.68351003834874,97.90982815215293,97.93322734499203,100.2808060786257,99.80973400814338,93.19082916738492,94.39563768554984,90.05930778082677,100.27364273204904,92.1849387715746,97.63105944286028,95.94706958401636,97.23321676978058,
HRV,2019-07-01,13805.4,11265.9,400.9,2111.1,1677.8,625.3,2638.5,544.5,608.3,1033.9,894.4,1966.9,450.2,8136.6,2548.1,0.0,97.6233072870629,97.41711775591028,90.37421100090172,100.07584735719364,100.86569676566069,100.70864873570622,101.34434415210292,92.72820163487738,94.70652343141832,93.14414414414416,101.08499095840868,94.28598820766022,100.28959679215862,97.58689342512416,97.38954288335115,
HRV,2019-10-01,13934.5,11414.9,381.3,2132.4,1709.9,640.5,2775.4,537.6,593.5,1031.6,927.5,1998.8,473.4,8337.9,2518.8,0.0,98.8991880535998,99.09713601125108,87.4340747534969,105.62187329734012,107.38554292532814,100.86614173228348,103.83867105656988,91.64677804295944,97.00882641386076,94.0897482670558,101.4326334208224,96.69117647058825,98.72784150156411,99.1191155492154,99.28261726448562,
HRV,2020-01-01,13804.6,11402.1,396.9,2030.9,1664.8,635.0,2735.8,581.4,554.5,1041.2,875.6,2019.3,451.9,8259.7,2404.8,0.0,99.39089364398237,99.56861546522288,86.94414019715225,102.20936084549572,104.9287785201059,101.47011824864174,101.99455691011444,92.7568602425016,97.65762592462136,94.11552020247672,99.54524783992724,97.5036214389184,97.91982665222102,98.67748255758389,98.41620626151014,
HRV,2020-04-01,11800.3,9911.6,382.1,1831.3,1484.4,600.7,1892.6,615.8,508.1,1030.4,755.9,2021.2,307.3,7131.3,1877.8,0.0,98.7035038853061,99.30368396268948,86.50667874122708,105.5078642622573,108.26343811538182,101.4695945945946,99.291747547348,93.51556567957478,101.84405692523552,95.31914893617022,97.8764728732358,98.8603570555148,97.18532574320052,98.83306770147598,95.19898605830164,
HRV,2020-07-01,12108.4,10042.7,394.3,1914.7,1541.3,666.7,1940.3,667.8,548.8,1026.0,763.7,1919.8,386.3,7252.8,2078.6,0.0,96.31933561899912,96.16128538052014,87.54440497335702,98.80282780329222,99.25940236991242,103.68584758942455,96.79237753167716,95.61855670103093,103.74291115311908,95.32658180804609,96.08706592853548,94.24181434392028,93.42200725513904,96.753021530909,98.80686409659172,
HRV,2020-10-01,13315.9,10850.9,411.6,1892.4,1505.3,666.7,2405.5,608.9,555.0,1046.2,790.4,2117.7,387.6,7911.2,2457.3,0.0,97.93479300124294,97.88460497591429,92.78629395852118,92.1144859813084,90.1755226741748,100.13517572844698,103.85096921814964,94.38846690435592,98.12588401697312,99.3919817594528,97.25606004675772,102.01849889199345,99.079754601227,101.20636057772263,100.07738046754092,
HRV,2021-01-01,14210.3,11672.4,434.5,2077.3,1696.8,706.0,2555.7,676.1,596.7,1048.3,827.7,2151.9,418.9,8275.4,2549.5,0.0,98.80889469878176,98.80309468587583,86.91738347669535,94.80626169503904,95.70219966159053,99.97167941093174,97.08999734072864,100.0,99.61602671118531,99.04572940287224,95.33517622667588,99.7404403244496,98.58790303600848,98.0718408172456,99.0212451936148,
HRV,2021-04-01,14099.2,11558.8,456.8,2069.2,1640.0,721.0,2534.3,713.7,635.7,1092.6,863.5,2114.3,413.5,8367.6,2539.6,0.0,98.54618653545069,98.59008367380012,95.80536912751676,98.42085235920852,97.96308464249448,98.84836852207296,98.48060931063962,102.69064748201438,100.31560675398454,98.69918699186992,97.68099547511312,98.66536002613282,98.71090952494627,98.7362384509186,98.62141276066949,
HRV,2021-07-01,14707.5,12028.8,514.2,2130.8,1681.6,731.6,2737.2,663.4,661.0,1115.5,924.8,2153.8,428.3,8684.1,2670.5,0.0,100.79429260670524,100.32695002335358,107.55072160635852,101.32192106514503,100.80930399856123,99.86349986349984,99.58886665453883,101.09722645534896,99.30889423076924,102.58414566856722,102.97294287941207,99.11642890013808,100.91894439208296,100.05876253024542,100.0,
HRV,2021-10-01,15321.1,12552.4,549.9,2258.5,1790.4,744.7,2847.6,741.1,674.7,1158.5,957.8,2244.8,412.0,9036.4,2756.0,0.0,101.74927113702624,102.1774699020749,109.87012987012989,105.5768511593119,105.72187776793622,101.29216539717083,104.66424082037712,96.6232073011734,100.7466029565477,99.6987951807229,103.714131023281,102.43679839372092,101.82896688086998,102.00248335026528,102.24827483861394,
HRV,2022-01-01,15987.7,13089.2,531.6,2441.2,2045.7,757.1,3116.3,770.4,650.2,1103.4,1001.2,2161.6,429.2,9232.4,2927.5,0.0,103.06267163467116,102.60969089783087,111.72761664564943,101.71666666666664,103.90593254774484,100.37120509081268,100.11887168283752,102.9808849084347,100.71251548946717,99.09295015716212,106.28450106157112,97.98730734360834,99.60547690879557,100.36744722022917,106.35785649409628,
HRV,2022-04-01,16562.9,13660.8,511.8,2473.9,1999.6,796.2,3521.7,843.8,662.5,1174.7,1051.4,2213.8,470.9,9938.8,2912.0,0.0,105.815647240714,105.33994432577902,102.1964856230032,110.03424809856337,110.00715189525224,103.5101404056162,107.10766423357664,106.36581368965084,105.7799776464953,101.73205161513812,112.3890967397114,99.08692149315192,99.72469292672596,104.5749158249158,108.81913303437967,
HRV,2022-07-01,17119.0,14104.0,464.2,2573.0,2045.9,848.1,3445.7,881.8,699.2,1272.9,1106.2,2307.0,501.9,10214.8,2998.4,0.0,108.47236391055576,108.49314225494042,94.79273024300592,118.80685228794388,118.8716518505607,108.57764690820638,111.32398552597571,106.2281652812914,105.9715065171264,106.163469557965,109.08194458140224,102.2969137992196,105.90841949778437,107.21610529740848,104.19794273005284,
