date,p_UE,p_EU
2002-11-01,0.23588199879590607,0.014965142168850603
2002-12-01,0.23209673632308053,0.014000102564853956
2003-01-01,0.2518810047459196,0.01472086800337231
2003-02-01,0.23080535336933553,0.013726845955092982
2003-03-01,0.23186723917836835,0.014251418594500218
2003-04-01,0.2429536454693687,0.014394667132419296
2003-05-01,0.2316742081447964,0.014533721868164607
2003-06-01,0.2360955997319634,0.014172277890083042
2003-07-01,0.22959844559585493,0.013662233579185785
2003-08-01,0.2360972360972361,0.014848819951692226
2003-09-01,0.23057897695334456,0.014040879245529969
2003-10-01,0.2314679825053269,0.012597955830825371
2003-11-01,0.24284077892325315,0.01327901886026587
2003-12-01,0.26207137858642404,0.013887082556610452
2004-01-01,0.24801156905278376,0.012520094425697695
2004-02-01,0.23709369024856597,0.013044326151490418
2004-03-01,0.23573352926769534,0.013406006352873232
2004-04-01,0.2528857479387515,0.012908958253570371
2004-05-01,0.2556317335945152,0.013349392029309525
2004-06-01,0.24750304506699147,0.012801302462287665
2004-07-01,0.25968851865266207,0.013101817580727463
2004-08-01,0.24538972215392177,0.013315750999756331
2004-09-01,0.26758448060075096,0.01366525499638125
2004-10-01,0.2690220820189274,0.013551787186749363
2004-11-01,0.267278818711999,0.012890988476129125
2004-12-01,0.26229508196721313,0.01318032365967948
2005-01-01,0.25721850964569415,0.01294946567392189
2005-02-01,0.26365154824617754,0.013214665211841137
2005-03-01,0.2582100777137127,0.01232527322209715
2005-04-01,0.2663219133807369,0.012031401103589509
2005-05-01,0.25798461739017076,0.012305992976096067
2005-06-01,0.2585958948882207,0.012868867511406817
2005-07-01,0.25844190374900294,0.01258363210343562
2005-08-01,0.2861580013504389,0.012457395566322074
2005-09-01,0.25217864923747274,0.013011909443289702
2005-10-01,0.2587736723612767,0.012192809332837005
2005-11-01,0.27543624161073826,0.011825391255526702
2005-12-01,0.26014540647719764,0.012156348042140134
2006-01-01,0.2795270177368349,0.011181055996410845
2006-02-01,0.2582837723024639,0.011821751463745232
2006-03-01,0.27179058758006125,0.012047352789436257
2006-04-01,0.2795531674208145,0.013094997877803214
2006-05-01,0.28055633604945207,0.012202672900187145
2006-06-01,0.2897678417884781,0.012161599333610995
2006-07-01,0.2874696385197886,0.013164276311231208
2006-08-01,0.2892792416004461,0.01196462632217791
2006-09-01,0.2935533925800536,0.012178254795922603
2006-10-01,0.2747589833479404,0.01207931322646813
2006-11-01,0.28728624535315983,0.012486405374523326
2006-12-01,0.3022849657982826,0.012507645470101919
2007-01-01,0.28767933737612783,0.013134815139638776
2007-02-01,0.29870677537250495,0.012554364576555599
2007-03-01,0.3015162454873646,0.01164797238999137
2007-04-01,0.275037147102526,0.012050828109940738
2007-05-01,0.2892815420560747,0.011761311331254036
2007-06-01,0.25912786400591276,0.012160596650694744
2007-07-01,0.2723233481439014,0.012619830183511368
2007-08-01,0.2763397229606828,0.011749221973924131
2007-09-01,0.27034677990092004,0.012323303057140307
2007-10-01,0.2660435267857143,0.012433234624301572
2007-11-01,0.2703524533517623,0.011821222005975712
2007-12-01,0.2695123635861307,0.01273094451873482
2008-01-01,0.2670342654588421,0.012212441596399387
2008-02-01,0.2557594689574385,0.012415696939465789
2008-03-01,0.26631087391594394,0.013720378011811156
2008-04-01,0.2713208029663726,0.013110780964378385
2008-05-01,0.24882137244630698,0.014057901581000617
2008-06-01,0.24020016680567138,0.013682103589153026
2008-07-01,0.2394678492239468,0.013506183181471742
2008-08-01,0.2335496866606983,0.015724113285088895
2008-09-01,0.24300551080966512,0.01474022082779427
2008-10-01,0.22534766118836916,0.015574047390881703
2008-11-01,0.20827955921771069,0.017309140137727153
2008-12-01,0.19739963936604346,0.017483706629094164
2009-01-01,0.19836618717812113,0.019256981092510395
2009-02-01,0.19019575315195753,0.019939772599347063
2009-03-01,0.1715127549042413,0.018691126834159504
2009-04-01,0.18569832402234634,0.017656717584924975
