ref_date,F,I,U,N
2023-06-01,8006545,11449002,526886,15310369
2023-07-01,7623787,10093825,577527,13634574
2023-08-01,8582515,12098962,629162,15809071
2023-09-01,7980691,10744250,582610,14568661
2023-10-01,8384790,10914823,573252,14855699
2023-11-01,8055927,10487762,517725,14024575
2023-12-01,8440630,10756205,499497,15055265
2024-01-01,7601011,11761533,579580,15482282
2024-02-01,7082281,11505835,477207,14461498
2024-03-01,7039889,11582919,437470,14542434
2024-04-01,8686382,10703193,540340,14955094
2024-05-01,8520955,11173112,534296,15241824
2024-06-01,8065849,10483524,518000,14689321
2024-07-01,9119727,11631409,646691,15715291
2024-08-01,8379189,10899962,615393,15139103
2024-09-01,8413254,10791338,585859,15093742
2024-10-01,9064304,11198409,530899,15836886
2024-11-01,8472247,10489284,519759,14991017
2024-12-01,8742242,10234274,475630,15043319
