code,year,status,informal_rate
BIH,2006,SLF,93.361
BIH,2007,TOTAL,37.057
BIH,2007,EES,15.298
BIH,2007,SLF,95.902
BIH,2008,TOTAL,35.577
BIH,2008,EES,12.879
BIH,2008,SLF,95.372
BIH,2009,TOTAL,33.794
BIH,2009,EES,10.509
BIH,2009,SLF,96.093
BIH,2010,TOTAL,32.358
BIH,2010,EES,8.949
BIH,2010,SLF,97.086
BIH,2011,TOTAL,30.885
BIH,2011,EES,8.906
BIH,2011,SLF,95.945
BIH,2012,TOTAL,33.687
BIH,2012,EES,10.137
BIH,2012,SLF,96.112
BIH,2013,TOTAL,31.507
BIH,2013,EES,9.692
BIH,2013,SLF,95.479
BIH,2014,TOTAL,29.278
BIH,2014,EES,9.529
BIH,2014,SLF,95.228
BIH,2015,TOTAL,30.131
BIH,2015,EES,8.81
BIH,2015,SLF,96.832
BIH,2016,TOTAL,30.479
BIH,2016,EES,9.178
BIH,2016,SLF,96.479
BIH,2017,TOTAL,24.824
BIH,2017,EES,11.876
BIH,2017,SLF,64.604
BIH,2018,TOTAL,22.146
BIH,2018,EES,11.724
BIH,2018,SLF,60.521
BIH,2019,TOTAL,23.125
BIH,2019,EES,9.145
BIH,2019,SLF,65.296
BIH,2020,TOTAL,14.083
BIH,2020,EES,5.261
BIH,2020,SLF,53.147
BIH,2021,TOTAL,19.49
BIH,2021,EES,5.297
BIH,2021,SLF,68.578
BIH,2022,TOTAL,18.752
BIH,2022,EES,4.277
BIH,2022,SLF,69.771
BIH,2023,TOTAL,18.527
BIH,2023,EES,3.675
BIH,2023,SLF,69.093
BIH,2024,TOTAL,16.567
BIH,2024,EES,3.358
BIH,2024,SLF,66.198
BOL,2016,TOTAL,76.249
BOL,2016,EES,56.52
BOL,2016,SLF,84.715
BOL,2017,TOTAL,79.117
BOL,2017,EES,59.752
BOL,2017,SLF,87.771
BOL,2018,TOTAL,80.701
BOL,2018,EES,60.225
BOL,2018,SLF,89.935
BOL,2019,TOTAL,81.494
BOL,2019,EES,63.995
BOL,2019,SLF,90.26
BOL,2022,TOTAL,84.316
BOL,2022,EES,59.517
BOL,2022,SLF,95.929
BOL,2023,TOTAL,83.882
BOL,2023,EES,58.859
BOL,2023,SLF,96.245
BOL,2024,TOTAL,83.875
BOL,2024,EES,60.194
BOL,2024,SLF,95.798
BOL,2025,TOTAL,85.605
BOL,2025,EES,63.57
BOL,2025,SLF,96.911
BOL,1999,TOTAL,84.228
BOL,1999,EES,62.591
BOL,1999,SLF,94.208
BOL,2005,TOTAL,95.818
BOL,2005,EES,100.0
BOL,2005,SLF,93.46
BOL,2006,TOTAL,96.148
BOL,2006,EES,100.0
BOL,2006,SLF,93.924
BOL,2007,TOTAL,84.26
BOL,2007,EES,70.374
BOL,2007,SLF,93.245
BOL,2008,TOTAL,85.941
BOL,2008,EES,73.316
BOL,2008,SLF,93.998
BOL,2009,TOTAL,84.162
BOL,2009,EES,70.796
BOL,2009,SLF,93.754
BOL,2011,TOTAL,83.356
BOL,2011,EES,67.82
BOL,2011,SLF,93.389
BOL,2012,TOTAL,82.126
BOL,2012,EES,66.945
BOL,2012,SLF,92.433
BOL,2013,TOTAL,80.434
BOL,2013,EES,63.93
BOL,2013,SLF,91.044
BOL,2014,TOTAL,85.215
BOL,2014,EES,70.91
BOL,2014,SLF,93.531
