code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,src_gdp,src_cons_hh,src_cons_gov,src_inv,src_capform,src_exports,src_imports
ESP,2017-01-01,287756.0,168256.0,53568.0,53540.0,55294.0,100669.0,90031.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2017-04-01,291535.0,170190.0,53741.0,54420.0,56239.0,101193.0,89828.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2017-07-01,293175.0,171147.0,54044.0,56304.0,58240.0,101818.0,92074.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2017-10-01,297558.0,173199.0,54445.0,56943.0,59150.0,104663.0,93899.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2018-01-01,298352.0,174753.0,54849.0,56848.0,59716.0,104264.0,95230.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2018-04-01,301749.0,175459.0,55452.0,59903.0,63084.0,104921.0,97167.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2018-07-01,304323.0,176647.0,56389.0,60366.0,63671.0,106294.0,98678.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2018-10-01,307852.0,177509.0,56983.0,61385.0,64545.0,107300.0,98485.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2019-01-01,311179.0,177518.0,57691.0,63812.0,66082.0,109174.0,99286.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2019-04-01,311955.0,176640.0,58322.0,63297.0,65262.0,111212.0,99481.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2019-07-01,312955.0,182567.0,58713.0,63862.0,65642.0,107310.0,101277.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2019-10-01,317621.0,183300.0,59401.0,63595.0,65150.0,107035.0,97265.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2020-01-01,301564.0,172587.0,60051.0,62232.0,62658.0,99155.0,92887.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2020-04-01,247347.0,134130.0,60822.0,50006.0,49954.0,67652.0,65211.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2020-07-01,287632.0,162715.0,61836.0,60140.0,59813.0,86548.0,83280.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2020-10-01,292671.0,164192.0,62844.0,60420.0,60494.0,90841.0,85700.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2021-01-01,298714.0,166387.0,63970.0,60462.0,63843.0,94260.0,89746.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2021-04-01,301107.0,169788.0,64542.0,60390.0,63722.0,98935.0,95880.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2021-07-01,310566.0,175242.0,65002.0,63337.0,68042.0,106582.0,104302.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2021-10-01,325087.0,182142.0,65927.0,65371.0,74641.0,117283.0,114906.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2022-01-01,332545.0,186804.0,67257.0,68196.0,76588.0,124677.0,122781.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2022-04-01,339188.0,191920.0,67879.0,69328.0,78083.0,137147.0,135841.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2022-07-01,345247.0,198200.0,69449.0,72450.0,78960.0,140740.0,142102.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2022-10-01,358883.0,198875.0,71226.0,71916.0,78547.0,143264.0,133029.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2023-01-01,369116.0,202421.0,71892.0,75280.0,78246.0,145577.0,129020.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2023-04-01,369733.0,205031.0,73079.0,75551.0,77503.0,140497.0,126377.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2023-07-01,374008.0,209089.0,73964.0,77382.0,79578.0,137656.0,126279.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2023-10-01,384904.0,213516.0,74979.0,78316.0,81014.0,142673.0,127278.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2024-01-01,391390.0,216535.0,75733.0,80039.0,82930.0,145228.0,129036.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2024-04-01,395077.0,219021.0,76189.0,79577.0,82834.0,148038.0,131005.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
