observation_date,PERIC
1984-01-01,8.548938737529520
1984-04-01,8.336413899766510
1984-07-01,8.162860577557350
1984-10-01,8.043516297437529
1985-01-01,7.914841185284270
1985-04-01,7.816076222729950
1985-07-01,7.711230527600360
1985-10-01,7.621467727774380
1986-01-01,7.487180285594280
1986-04-01,7.493124180504380
1986-07-01,7.456420468522010
1986-10-01,7.385265596027200
1987-01-01,7.257742381076920
1987-04-01,7.101059598026290
1987-07-01,6.953173698310700
1987-10-01,6.907460517109190
1988-01-01,6.840157036151000
1988-04-01,6.740388868826940
1988-07-01,6.628812288485430
1988-10-01,6.600967745220330
1989-01-01,6.510476830414010
1989-04-01,6.382318721923440
1989-07-01,6.337518702266340
1989-10-01,6.274895701717000
1990-01-01,6.166623859271710
1990-04-01,6.074453254097450
1990-07-01,5.992053402889710
1990-10-01,5.928097847864840
1991-01-01,5.913795853274590
1991-04-01,5.827751214612070
1991-07-01,5.727302346208070
1991-10-01,5.643266119356180
1992-01-01,5.576755609383080
1992-04-01,5.475198549186140
1992-07-01,5.393962757668930
1992-10-01,5.294023853515570
1993-01-01,5.230654518831600
1993-04-01,5.155923861634710
