observation_date,CPGRLE01MXM659N
1999-02-01,17.1692399999999985
1999-03-01,17.5800400000000003
1999-04-01,17.7445100000000018
1999-05-01,17.6868499999999997
1999-06-01,17.5184399999999982
1999-07-01,17.3580299999999994
1999-08-01,16.9827200000000005
1999-09-01,16.5431100000000022
1999-10-01,16.0623299999999993
1999-11-01,15.5242000000000004
1999-12-01,14.0819600000000005
2000-01-01,13.4160699999999995
2000-02-01,12.6944400000000002
2000-03-01,11.6984100000000009
2000-04-01,11.0430499999999991
2000-05-01,10.5725899999999999
2000-06-01,10.2339900000000004
2000-07-01,9.8920820000000003
2000-08-01,9.6706830000000004
2000-09-01,9.2377929999999999
2000-10-01,9.1428700000000003
2000-11-01,9.0498729999999998
2000-12-01,8.8407270000000011
2001-01-01,8.0305339999999994
2001-02-01,7.4467100000000004
2001-03-01,7.3701100000000004
2001-04-01,7.1935640000000003
2001-05-01,7.1091460000000009
2001-06-01,6.9522320000000004
2001-07-01,6.5218509999999998
2001-08-01,6.3266060000000000
2001-09-01,6.3307710000000004
2001-10-01,6.0013790000000000
2001-11-01,5.5487580000000003
2001-12-01,5.0776199999999996
2002-01-01,3.8188670000000000
2002-02-01,3.5459610000000001
2002-03-01,3.4029349999999998
2002-04-01,3.4625300000000001
2002-05-01,3.3704670000000001
2002-06-01,3.3931550000000001
2002-07-01,3.6468229999999999
2002-08-01,3.6655169999999999
2002-09-01,3.4862300000000004
2002-10-01,3.4127660000000004
2002-11-01,3.3774530000000000
2002-12-01,3.3863289999999999
2003-01-01,4.3939969999999997
2003-02-01,4.4895639999999997
2003-03-01,4.4246429999999997
2003-04-01,4.2507750000000000
2003-05-01,4.1319309999999998
2003-06-01,3.9016470000000001
2003-07-01,3.8149609999999998
2003-08-01,3.8173010000000001
2003-09-01,3.6012590000000002
2003-10-01,3.5561680000000000
2003-11-01,3.5909680000000002
2003-12-01,3.5754929999999998
2004-01-01,3.6458789999999999
2004-02-01,3.7656390000000002
2004-03-01,3.7501600000000002
2004-04-01,3.7996560000000001
2004-05-01,3.7703389999999999
2004-06-01,3.8836149999999998
2004-07-01,3.9242330000000001
2004-08-01,3.8590119999999999
2004-09-01,3.9317000000000002
2004-10-01,4.0119850000000001
2004-11-01,4.0103839999999993
2004-12-01,4.0385929999999997
2005-01-01,3.8922469999999998
2005-02-01,3.7044589999999999
2005-03-01,3.6487569999999998
2005-04-01,3.5166200000000001
2005-05-01,3.4853770000000002
2005-06-01,3.5012760000000003
2005-07-01,3.5492430000000001
2005-08-01,3.3835300000000004
2005-09-01,3.2709560000000000
2005-10-01,3.2094589999999998
2005-11-01,3.2454420000000002
2005-12-01,3.3347639999999998
2006-01-01,3.2457330000000000
2006-02-01,3.1336210000000002
2006-03-01,3.1799930000000001
2006-04-01,3.2606160000000002
2006-05-01,3.1696780000000002
2006-06-01,3.2080639999999998
2006-07-01,3.2294019999999999
2006-08-01,3.3373730000000004
2006-09-01,3.3986400000000003
2006-10-01,3.3937800000000005
2006-11-01,3.3122419999999999
2006-12-01,3.3100540000000001
2007-01-01,3.4564190000000004
2007-02-01,3.6128330000000002
2007-03-01,3.5175559999999999
2007-04-01,3.3172320000000002
2007-05-01,3.3735610000000000
2007-06-01,3.3217400000000001
2007-07-01,3.3197860000000001
2007-08-01,3.3189250000000001
2007-09-01,3.2379860000000003
2007-10-01,3.2875820000000000
2007-11-01,3.2876979999999998
2007-12-01,3.2829739999999998
2008-01-01,3.2995100000000002
2008-02-01,3.3986980000000004
2008-03-01,3.6881290000000000
2008-04-01,3.8038330000000000
2008-05-01,3.9713069999999999
2008-06-01,4.1621579999999998
2008-07-01,4.3460310000000000
2008-08-01,4.5780930000000000
2008-09-01,4.7919330000000002
2008-10-01,4.9272910000000003
2008-11-01,5.2011940000000001
2008-12-01,5.3781169999999996
2009-01-01,5.2956209999999997
2009-02-01,5.2306410000000003
2009-03-01,5.1490650000000002
2009-04-01,5.2758120000000002
2009-05-01,5.1182850000000002
2009-06-01,4.9519859999999998
2009-07-01,4.8328199999999999
2009-08-01,4.5712339999999996
2009-09-01,4.2935809999999996
2009-10-01,4.1862719999999998
2009-11-01,3.8753080000000000
2009-12-01,3.8563459999999998
2010-01-01,4.4504769999999994
2010-02-01,4.5862740000000004
2010-03-01,4.5921360000000000
2010-04-01,4.2851499999999998
2010-05-01,4.2862190000000000
2010-06-01,4.2518609999999999
2010-07-01,4.1657080000000004
2010-08-01,4.0832899999999999
2010-09-01,4.1142279999999998
2010-10-01,4.0548970000000004
2010-11-01,4.1138420000000000
2010-12-01,4.0208080000000006
2011-01-01,3.5622050000000005
2011-02-01,3.3326810000000000
2011-03-01,3.0151849999999998
2011-04-01,2.9806140000000001
2011-05-01,3.0991830000000000
2011-06-01,3.0396030000000001
2011-07-01,3.0128509999999999
2011-08-01,3.0014820000000002
2011-09-01,2.8372190000000002
2011-10-01,2.7531550000000000
2011-11-01,2.6899730000000002
2011-12-01,2.6838560000000000
2012-01-01,2.4816940000000001
2012-02-01,2.4634630000000000
2012-03-01,2.4768699999999999
2012-04-01,2.6091850000000001
2012-05-01,2.7270330000000000
2012-06-01,2.7421660000000001
2012-07-01,2.7950580000000000
2012-08-01,2.8920290000000000
2012-09-01,2.7859200000000000
2012-10-01,2.8344990000000001
2012-11-01,2.5539480000000001
2012-12-01,2.2195809999999998
2013-01-01,2.3888840000000000
2013-02-01,2.6987250000000000
2013-03-01,2.8494020000000000
2013-04-01,2.9929299999999999
2013-05-01,2.9778500000000001
2013-06-01,3.0333830000000002
2013-07-01,2.8231950000000001
2013-08-01,2.7096350000000000
2013-09-01,2.9018440000000001
2013-10-01,2.8615719999999998
2013-11-01,3.0231659999999998
2013-12-01,3.4027140000000000
2014-01-01,3.6730790000000000
2014-02-01,3.3491789999999999
2014-03-01,3.2305820000000001
2014-04-01,3.2262450000000000
2014-05-01,3.0718510000000001
2014-06-01,3.0641229999999999
2014-07-01,3.1948390000000000
2014-08-01,3.2883309999999999
2014-09-01,3.2580520000000002
2014-10-01,3.2341620000000000
2014-11-01,3.2459920000000002
2014-12-01,3.0321199999999999
2015-01-01,2.2494110000000003
2015-02-01,2.3599670000000001
2015-03-01,2.4728490000000001
2015-04-01,2.3377020000000002
2015-05-01,2.3769499999999999
2015-06-01,2.3827099999999999
2015-07-01,2.3718659999999998
2015-08-01,2.3835950000000001
2015-09-01,2.4610520000000000
2015-10-01,2.5420919999999998
2015-11-01,2.3804380000000003
2015-12-01,2.4354190000000000
2016-01-01,2.7167960000000000
2016-02-01,2.6601230000000000
2016-03-01,2.6683100000000000
2016-04-01,2.6075569999999999
2016-05-01,2.6026440000000002
2016-06-01,2.6220050000000001
2016-07-01,2.7946369999999998
2016-08-01,2.7462100000000000
2016-09-01,2.7911800000000002
2016-10-01,2.8045900000000001
2016-11-01,3.0168910000000002
2016-12-01,3.1552030000000002
2017-01-01,3.5283550000000004
2017-02-01,3.8824200000000002
2017-03-01,4.0547500000000003
2017-04-01,4.4084120000000002
2017-05-01,4.6556509999999998
2017-06-01,4.7023359999999998
2017-07-01,4.6317610000000000
2017-08-01,4.7472799999999999
2017-09-01,4.5103700000000000
2017-10-01,4.6917169999999997
2017-11-01,4.8000280000000002
2017-12-01,4.7891550000000001
2018-01-01,4.4199859999999997
2018-02-01,4.1946430000000001
2018-03-01,4.0211629999999996
2018-04-01,3.7277190000000000
2018-05-01,3.6243150000000002
2018-06-01,3.5823890000000000
2018-07-01,3.5610230000000005
2018-08-01,3.4981700000000000
2018-09-01,3.5939960000000002
2018-10-01,3.4856850000000001
2018-11-01,3.3751050000000005
2018-12-01,3.4308239999999999
2019-01-01,3.4258340000000000
2019-02-01,3.3545980000000002
2019-03-01,3.3521510000000001
2019-04-01,3.6811479999999999
2019-05-01,3.5347909999999998
2019-06-01,3.5716070000000002
2019-07-01,3.5910269999999995
2019-08-01,3.6149230000000001
2019-09-01,3.6046010000000002
2019-10-01,3.5467830000000000
2019-11-01,3.5591499999999998
2019-12-01,3.5181969999999998
2020-01-01,3.5730219999999999
2020-02-01,3.4913889999999999
2020-03-01,3.4164560000000002
2020-04-01,3.0960280000000000
2020-05-01,3.0928369999999998
2020-06-01,3.0953569999999999
2020-07-01,3.1736369999999998
2020-08-01,3.2345809999999999
2020-09-01,3.2427030000000001
2020-10-01,3.2049759999999998
2020-11-01,2.8313650000000004
2020-12-01,2.9757030000000002
2021-01-01,3.0255850000000000
2021-02-01,3.0589550000000001
2021-03-01,3.2883499999999999
2021-04-01,3.4403519999999999
2021-05-01,3.7318300000000000
2021-06-01,3.9295390000000001
2021-07-01,3.9245310000000000
2021-08-01,3.9476540000000000
2021-09-01,4.0137970000000003
2021-10-01,4.2367580000000000
2021-11-01,4.6977699999999993
2021-12-01,4.9120260000000000
2022-01-01,5.0662880000000001
2022-02-01,5.3895200000000001
2022-03-01,5.4704179999999996
2022-04-01,5.7767970000000002
2022-05-01,5.7517329999999998
2022-06-01,5.9121699999999997
2022-07-01,6.0890240000000002
2022-08-01,6.3495230000000005
2022-09-01,6.5008029999999994
2022-10-01,6.5503920000000004
2022-11-01,6.6332369999999994
2022-12-01,6.4120330000000001
2023-01-01,6.5904809999999996
2023-02-01,6.5116100000000001
2023-03-01,6.4701309999999994
2023-04-01,6.2345780000000000
2023-05-01,6.1155999999999997
2023-06-01,5.7267340000000004
2023-07-01,5.5910789999999997
2023-08-01,5.2950280000000003
2023-09-01,5.1654900000000001
2023-10-01,5.0254709999999996
2023-11-01,4.8209290000000005
2023-12-01,4.7140559999999994
2024-01-01,4.4804959999999996
2024-02-01,4.4183330000000005
2024-03-01,4.3495150000000002
2024-04-01,4.1677800000000005
2024-05-01,4.0559089999999998
2024-06-01,4.0600899999999998
2024-07-01,4.0298600000000002
